audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29798600.wav	tanzania chini ya rais wa awamu ya pili ali hassan mwinyi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37094143.wav	sabato haikufanyika kwa ajili ya wana wa israeli pekee bali kwa ajili ya adam 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30330049.wav	shughuli hizi hufanyika katika misitu ya asili na ya watu 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30376843.wav	baada ya utafiti juu ya ushujaa wa maadili yake juu ya maandishi yake 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35221658.wav	nafahamike kuwa asilimia kubwa ya makabila mengi yaliyopo hapa afrika yalipata majina kulingana na 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29797416.wav	migogoro ndani ya nchi ni chanzo cha vita 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30143822.wav	shahada ya pili katika sayansi ya maendeleo ya jamii chuo kikuu cha hull uingereza 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34979425.wav	si fukwe tu bali zanzibar kuna vivutio vingi vya asili 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35183499.wav	wasichana na wanawake vijana huvalia shanga hizo kwenye mavazi ya bibi harusi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37329863.wav	walijadiliana kuhusu ushirikiano wa kimkakati kati ya marekani na kenya kuhamasisha amani na usalama 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30657051.wav	kiatu cha dhahabu na kombe vilieenda mjini benus aires 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30090747.wav	mourinho hajali wala hana habari na mtu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30631243.wav	unachangia pato la taifa hilo kupitia sekta mbalimbali 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30181219.wav	new generationb united service na new kings karume 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29791723.wav	hizo ni baadhi ya faida za utalii kwa kila taifa lenye hifadhi za wanyama 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29970339.wav	tumia bidhaa za nywele zinaendana na nywele zako 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29790808.wav	tunakwenda bagamoyo roho yangu furahi tumelia barani 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30478646.wav	wamasai hawazai pacha la hasha bali kiimani pacha ni mwiko 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37098342.wav	kwenye ufunguzi huo serikali ya mapinduzi ya zanzibar ilibainisha mambo kadhaa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29994962.wav	halmashauri ya bagamoyo inaundwa na tarafa mbili 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36617434.wav	karagwe kwenye njia kuu ya biashara ya kimataifa na kupunguza umaarufu wake 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30630582.wav	pazia la chuma lilitandikwa katika bara la ulaya kuanzia stettin upande wa kaskazini 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29924876.wav	baada ya kuangushwa kwa usultani mwezi januari visiwa vya zanzibar vikawa jamhuri 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28662082.wav	anaheshimiwa na waanglikana na walutheri kama mtakatifu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35099574.wav	m huyo ni bi juiet sima ambaye ni afisa lishe 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29488570.wav	baada ya kuishi muda mfupi kama mkaapweke alianzisha shirika la masista wa familia takatifu 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36331449.wav	watu wanarudia matokeo ya vipimo kila maada ya miezi mitatu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29516966.wav	mifano ya rasi kubwa ni nchi za italia na korea au bara hindi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29791513.wav	mtu mwingine akivuta hewa yenye matone haya anaweza kuambukizwa tauni inayosababisha nyumonia 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28666615.wav	mwaka huohuo halmashauri mpya ilitangaza katiba mpya na kuondoa urais wa maisha 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29655504.wav	jimbo uko la atlantiki na upande wa mashariki ya nchi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30143048.wav	alihitimu kidato cha sita na kufaulu na kujiunga chuo kikuu cha dar es salaam 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29941508.wav	hata hivyo maisha ya binadamu hutegemea mazingira yake yanayomzunguka katika kujikimu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34745231.wav	nyongeza katika mambo ya ndoa au urithi wa mali walikuwa chini ya 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29421261.wav	pia taya la mamba lina uwezo wa hali ya juu wa hisi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30079923.wav	mwalimu nyerere alikuwa rais wa pekee sana ulimwenguni 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29594614.wav	wadudu hao hawana mabawa lakini wanaweza kuruka mbali sana ikilinganishwa na ukubwa wao 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34979492.wav	benki kuu ya tanzania inahakikisha kuwa taifa lina uchumi imara 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29150759.wav	baada ya kupigwa kwa imani yao waliuawa wakati wa dhuluma ya kaisari decius 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30024253.wav	mwisho ni wilaya za muheza na tanga pia ipo mkinga na pangani 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28662061.wav	ni nchi yenye waislamu wengi kuliko nyingine zote duniani 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29799459.wav	mabadiliko hayo yalimpa raisi uwezo wa kuteua watanzania kumi kuwa wabunge 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29792343.wav	wanawake jamii ya warangi ni wazuri nywele zao ni asili ya waraabu weupe 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29818125.wav	tatizo lilikua kwanini fedha zimeingia kwenye akaunti yake badala ya akaunti ya shule 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29848004.wav	kitulo na udzungwa ada yake kwa mtu wa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30566725.wav	hupokea watalii wengi kutoka njee ya nchi 	0
