sentence	gender	duration	audio
tanzania chini ya rais wa awamu ya pili ali hassan mwinyi 	female_feminine	4.7235	common_voice_sw_29798600.wav
sabato haikufanyika kwa ajili ya wana wa israeli pekee bali kwa ajili ya adam 	male_masculine	6.1275	common_voice_sw_37094143.wav
shughuli hizi hufanyika katika misitu ya asili na ya watu 	female_feminine	4.9035	common_voice_sw_30330049.wav
baada ya utafiti juu ya ushujaa wa maadili yake juu ya maandishi yake 	female_feminine	5.7675	common_voice_sw_30376843.wav
nafahamike kuwa asilimia kubwa ya makabila mengi yaliyopo hapa afrika yalipata majina kulingana na 	female_feminine	6.9555	common_voice_sw_35221658.wav
migogoro ndani ya nchi ni chanzo cha vita 	female_feminine	3.7875	common_voice_sw_29797416.wav
shahada ya pili katika sayansi ya maendeleo ya jamii chuo kikuu cha hull uingereza 	female_feminine	8.30365625	common_voice_sw_30143822.wav
si fukwe tu bali zanzibar kuna vivutio vingi vya asili 	female_feminine	5.4435	common_voice_sw_34979425.wav
wasichana na wanawake vijana huvalia shanga hizo kwenye mavazi ya bibi harusi 	female_feminine	6.1275	common_voice_sw_35183499.wav
walijadiliana kuhusu ushirikiano wa kimkakati kati ya marekani na kenya kuhamasisha amani na usalama 	female_feminine	7.7835	common_voice_sw_37329863.wav
kiatu cha dhahabu na kombe vilieenda mjini benus aires 	male_masculine	6.2355	common_voice_sw_30657051.wav
mourinho hajali wala hana habari na mtu 	male_masculine	4.0035	common_voice_sw_30090747.wav
unachangia pato la taifa hilo kupitia sekta mbalimbali 	male_masculine	5.78365625	common_voice_sw_30631243.wav
new generationb united service na new kings karume 	male_masculine	2.4555	common_voice_sw_30181219.wav
hizo ni baadhi ya faida za utalii kwa kila taifa lenye hifadhi za wanyama 	female_feminine	5.9475	common_voice_sw_29791723.wav
tumia bidhaa za nywele zinaendana na nywele zako 	female_feminine	4.6155	common_voice_sw_29970339.wav
tunakwenda bagamoyo roho yangu furahi tumelia barani 	female_feminine	5.2635	common_voice_sw_29790808.wav
wamasai hawazai pacha la hasha bali kiimani pacha ni mwiko 	male_masculine	5.7675	common_voice_sw_30478646.wav
kwenye ufunguzi huo serikali ya mapinduzi ya zanzibar ilibainisha mambo kadhaa 	male_masculine	8.3595	common_voice_sw_37098342.wav
halmashauri ya bagamoyo inaundwa na tarafa mbili 	male_masculine	3.1755	common_voice_sw_29994962.wav
karagwe kwenye njia kuu ya biashara ya kimataifa na kupunguza umaarufu wake 	male_masculine	6.9555	common_voice_sw_36617434.wav
pazia la chuma lilitandikwa katika bara la ulaya kuanzia stettin upande wa kaskazini 	female_feminine	8.9355	common_voice_sw_30630582.wav
baada ya kuangushwa kwa usultani mwezi januari visiwa vya zanzibar vikawa jamhuri 	female_feminine	7.2075	common_voice_sw_29924876.wav
anaheshimiwa na waanglikana na walutheri kama mtakatifu 	male_masculine	6.2355	common_voice_sw_28662082.wav
m huyo ni bi juiet sima ambaye ni afisa lishe 	female_feminine	5.9835	common_voice_sw_35099574.wav
baada ya kuishi muda mfupi kama mkaapweke alianzisha shirika la masista wa familia takatifu 	female_feminine	6.8475	common_voice_sw_29488570.wav
watu wanarudia matokeo ya vipimo kila maada ya miezi mitatu 	male_masculine	7.2435	common_voice_sw_36331449.wav
mifano ya rasi kubwa ni nchi za italia na korea au bara hindi 	female_feminine	5.4075	common_voice_sw_29516966.wav
mtu mwingine akivuta hewa yenye matone haya anaweza kuambukizwa tauni inayosababisha nyumonia 	female_feminine	6.7755	common_voice_sw_29791513.wav
mwaka huohuo halmashauri mpya ilitangaza katiba mpya na kuondoa urais wa maisha 	female_feminine	7.2435	common_voice_sw_28666615.wav
jimbo uko la atlantiki na upande wa mashariki ya nchi 	female_feminine	6.5955	common_voice_sw_29655504.wav
alihitimu kidato cha sita na kufaulu na kujiunga chuo kikuu cha dar es salaam 	female_feminine	6.50365625	common_voice_sw_30143048.wav
hata hivyo maisha ya binadamu hutegemea mazingira yake yanayomzunguka katika kujikimu 	male_masculine	5.1555	common_voice_sw_29941508.wav
nyongeza katika mambo ya ndoa au urithi wa mali walikuwa chini ya 	female_feminine	5.9475	common_voice_sw_34745231.wav
pia taya la mamba lina uwezo wa hali ya juu wa hisi 	female_feminine	7.0635	common_voice_sw_29421261.wav
mwalimu nyerere alikuwa rais wa pekee sana ulimwenguni 	female_feminine	5.81965625	common_voice_sw_30079923.wav
wadudu hao hawana mabawa lakini wanaweza kuruka mbali sana ikilinganishwa na ukubwa wao 	female_feminine	8.1075	common_voice_sw_29594614.wav
benki kuu ya tanzania inahakikisha kuwa taifa lina uchumi imara 	female_feminine	5.3355	common_voice_sw_34979492.wav
baada ya kupigwa kwa imani yao waliuawa wakati wa dhuluma ya kaisari decius 	female_feminine	9.7635	common_voice_sw_29150759.wav
mwisho ni wilaya za muheza na tanga pia ipo mkinga na pangani 	female_feminine	6.2355	common_voice_sw_30024253.wav
ni nchi yenye waislamu wengi kuliko nyingine zote duniani 	male_masculine	5.4075	common_voice_sw_28662061.wav
mabadiliko hayo yalimpa raisi uwezo wa kuteua watanzania kumi kuwa wabunge 	female_feminine	7.7475	common_voice_sw_29799459.wav
wanawake jamii ya warangi ni wazuri nywele zao ni asili ya waraabu weupe 	female_feminine	5.5875	common_voice_sw_29792343.wav
tatizo lilikua kwanini fedha zimeingia kwenye akaunti yake badala ya akaunti ya shule 	female_feminine	7.3875	common_voice_sw_29818125.wav
kitulo na udzungwa ada yake kwa mtu wa 	female_feminine	5.1555	common_voice_sw_29848004.wav
hupokea watalii wengi kutoka njee ya nchi 	female_feminine	5.9475	common_voice_sw_30566725.wav
kuhakikisha rais aliye madarakani hapingwi na mtu yeyote 	male_masculine	5.4075	common_voice_sw_30115748.wav
carols ancellot ambaye anakiongoza 	female_feminine	4.3635	common_voice_sw_37214960.wav
bara la afrika halikuwajengea watoto wao misingi kuwa wachezaji wa mpira 	male_masculine	6.0555	common_voice_sw_29796156.wav
inayokamilisha jumla ya halmashauri kumi na moja za mkoa wa tanga 	female_feminine	5.2635	common_voice_sw_29791210.wav
walipanda mashua ya mwisho ya kuokoleaa 	female_feminine	3.8235	common_voice_sw_35206707.wav
jina ambalo wekundu wa msimbazi wanalikumbuka sana 	female_feminine	5.56765625	common_voice_sw_30143347.wav
zao la biashara ni kahawa 	male_masculine	3.8235	common_voice_sw_28817524.wav
vile vile wanaongeza kwamba nyangumi huwa na damu motoy 	female_feminine	4.4355	common_voice_sw_30053371.wav
hasa mataifa yale yanayozungumza lugha ya kifaransa 	male_masculine	5.5515	common_voice_sw_30342576.wav
kuna tai pia wanaopatikana katika msitu wa amazon 	male_masculine	4.6155	common_voice_sw_30090709.wav
nadharia hii hutumia kigezo cha msamiati wa kiswahili kuonesha uhusiano uliopo kati ya kiswahili 	female_feminine	7.9275	common_voice_sw_35214456.wav
vimekuwa kama alama za mapinduzi duniani kote 	female_feminine	4.0035	common_voice_sw_34979717.wav
makao makuu ni fort de france 	male_masculine	3.6075	common_voice_sw_28735828.wav
na dawa yake yaani ukimeza umepona tofauti na malaria hata anywe dawa leo 	female_feminine	6.2355	common_voice_sw_36617207.wav
elagabalus hakuwa tu mtu wa kufuga paka 	female_feminine	3.6435	common_voice_sw_34958882.wav
yeye ni mlinzi wa kushoto ambaye anaweza pia kucheza upande wa kushoto wa uwanja 	male_masculine	7.4955	common_voice_sw_29602854.wav
halmashauri ya manispaa ya kinondoni na halmashauri ya manispaa ya ilala 	female_feminine	5.6955	common_voice_sw_30574802.wav
wengine wakichambua mchanga na kujipatia pesa kwa ajili ya kununua mahitaji mbalimbali 	female_feminine	5.2635	common_voice_sw_30071480.wav
idi amin dada alikuwa mwanajeshi kutoka nchi ya uganda aliyepindua serikali na kujifanya rais 	female_feminine	8.0355	common_voice_sw_36617289.wav
ripoti hiyo haikutoa sababu ya iran kusitisha kwa muda mazungumzo 	female_feminine	5.5875	common_voice_sw_37331990.wav
anasema mafanikio ya kisiwa hicho yaliendelea hadi karne ya kumi na nne 	male_masculine	5.7675	common_voice_sw_30181515.wav
waliishi katika hifadhi ya taifa ya serengeti 	male_masculine	3.9675	common_voice_sw_29961429.wav
wengine ni hasa wakristo wakopti 	male_masculine	5.5875	common_voice_sw_29697852.wav
hasa sana hapa dar es salaam hawajapata miji mikubwa kama beya arusha mwanza 	male_masculine	5.6955	common_voice_sw_36318720.wav
kuna aina mbalimbali 	female_feminine	2.4555	common_voice_sw_29620744.wav
