audio	sentence	gender_domain
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30025434.wav	ndio wafanye maamuzi utanashati na usafi ni sifa nyingine muhimu kwa kabila hili 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30054973.wav	budya ni kisiwa kinachopatikana tanzania katika bahari ya hindi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36390421.wav	dhambi zangu zote wala si nusu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34597390.wav	watu wana uhakika kuhusu sauti zinazorekodiwa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28994731.wav	ngano ambayo ni mazao makuu asia ya kusini ndiyo inayotumiwa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30671871.wav	kwenye nafasi mojawapo za nyuma na kumuweka kama mshambuliaji 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28714506.wav	shirika la ndege la uingereza linatokana na shirika hili 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30198414.wav	alipokufa milki ilichukuliwa na dada yake mwene ngalu ambaye ndiye mwanzilishi wa sumbawanga 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30574135.wav	alikuwa na nia ya kujenga muungano wa afrika ili iwe kitu kimoja 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28811327.wav	serikali za china na wakati wa vita pia japan walifanya mipango ya ujenzi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29793226.wav	jitihada hizo zilishindikana kufuatia hali ya nkrumah kuwa mbaya 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30635647.wav	party walipewa nafasi serikalini kufikia machi okello 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34746354.wav	sehemu kubwa zaidi ya afrika ya mashariki inapeleka maji kwenda mabeseni ya rufiji 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30038227.wav	jumla ya mapato na kiwango cha bei ya kawaida 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29996312.wav	tuhangaikie malazi mavazi na chakula 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35279637.wav	ni watu wangapi watu gani unawatakia kuwatakia idd 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30116004.wav	biashara ya watumwa ilianza kuonekana kama biashara ovu ambayo ilisababisha vifo 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37331886.wav	takribani watu thamanini na saba wameuawa na mamia kujeruhiwa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36252472.wav	na na na namna hiyo unatamani watu wapone magonjwa yao 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30243488.wav	mkoa unapakana na nchi ya kenya na uganda kwa upande wa kaskazini 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35182024.wav	vigumu kwenda haja ndogo na hii pia umeleta utata thelathini na tisa ukeketaji ni 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30566574.wav	ikifikia upeo katika sherehe ya eunoto yaani ujio wa umri 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29898595.wav	vijana wa kiume ni walilishwa kwa kupigwa mijeledi wakiwa uchi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29907118.wav	ambayo ni msimu wa vuli unaoanzia mwezi oktoba desemba 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34823908.wav	kusababisha madhara makubwa ya kiafya lakini kivyovyote vile ni upungufu mkubwa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30007107.wav	miezi kadhaa inayofuata tohara hata hivyo nyekundu ni rangi iliyopendelewa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30057773.wav	raul gonzalez mfumania nyavu wa hispania alicheza madrid 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29323788.wav	ni maarufu kwa ngano zake 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30021461.wav	mbali na filamu hiyo kuna filamu takribani kumi na moja 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36375244.wav	sheria hiyo haihusiani tu na utegemeaji wa dawa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35989418.wav	nyinyi ni watoto wa maria 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28817377.wav	lugha muziki michezo au sanaa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29799220.wav	akizungumza katika ofisi za mwananchi jana zuhura anasema ndoto ya udaktari ilikufa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29796948.wav	na hawakuambiwa kuwa wanakwenda kulima mkonge walikubali na hatimaye hawakukuta hata kimoja 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34906962.wav	ndio maana wanawake wameanza kutafuta namna nyingine 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36382383.wav	inaathiri takribani asilimia sitini ya wananchi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28662831.wav	mara nyingi hali hiyo husababishwa na ajali au kuzaliwa hivyo hivyo 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37093117.wav	tulivyo katika ligi ya hapa uganda 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28950448.wav	katika kuleta amani ana kipaji cha pekee 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34947086.wav	kifo cha seyyid barghash kilimleta kwenye kiti cha usultan seyyid khalifa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28583654.wav	eneo la ziwa ni kavu sana na maji yake ni ya magadi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29789083.wav	waliombukizwa virusi vya homa ya ini wakiwa watoto 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30629509.wav	uliofuata ni mkataba wa sant germain na austria uliosainiwa tarehe kumi 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30674889.wav	vile watoto wadogo wa shule waliokuwa watukutu kwa 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30338761.wav	mitihani yao ya kumaliza kidato cha sita na 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34834642.wav	madai hayo hayakuwa na athari kubwa kisiasa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36105817.wav	sawa na asilimia ishirini na saba 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30221370.wav	chato ni mojawapo ya wilaya tano za mkoa mpya wa geita uliopo kaskazini magharibi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28661946.wav	kwenye maeneo jirani na syria wako pia waarabu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30073514.wav	nigeria ilishinda ubingwa kwa kuifunga zambia 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30376731.wav	mwaka elfu moja mia tisa tisini na nne 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37099057.wav	uwezo wa kukusanyika ripoti juu ya watu milioni ishirini na tano wa marekani bila 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30074831.wav	haya yote ndio yatakayokamilisha safari ya matembezi hifadhini 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31262001.wav	ukijisahau kusema maneno ya kumsifia mwenyekiti wa chama watu watakushangaa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35105016.wav	mwanamke ni pambo la nyumba ndani 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29924574.wav	utafiti huu unafanywa na kikundi cha wanasayansi wa kimataifa kutoka vyuo vikuu mbalimbali duniani 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29793050.wav	mkutano mkuu ulipiga kura na kumchagua magufuli kuwa mgombea urais wa chama cha mapinduzi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36331449.wav	watu wanarudia matokeo ya vipimo kila maada ya miezi mitatu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36617546.wav	yeye ni mshambuliaji wa juu kabisa ureno wakati wote 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29822462.wav	tozo hizi zimeondolewa ili kuwawezesha wafanyabiashara kufanya biashara zao hapa nchini 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29677966.wav	wanafunzi wa kwanza walianza kozi zao januari ya mwaka ya mwaka huo 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29949521.wav	miongoni mwa filamu ambazo amewahi kuigiza ni rangi ya zambarau 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28804143.wav	kwa hiyo lugha imetoweka kabisa kwa sasa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36331632.wav	ameachiliwa baada ya chama tawala nchini humo 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35105174.wav	hii inafanya waturuki wahisi kuwajibika zaidi lakini 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30443876.wav	babdari nyingine iliyotumiwa kukusanya mizigo kwa ajili ya kusafirishwa kwenda ulaya 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37226242.wav	walanguzi kuhatarisha maisha ya watoto walemavu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34958484.wav	wakimaliza mafunzo yao ya maisha kama watu binafsi huendeleza umoja wao 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36040423.wav	hapo ndio ilibidi nichukue hatua ya kutoroka nyumbani 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29960695.wav	mashamba hayo hayawezi kudumisha idadi kubwa ya wanyama 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37229709.wav	picha hiyo ilipigwa aprili mwaka elfu moja mia tisa tisini 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29925229.wav	mke wake aliitwa mwene wakulosi ambaye walijaliwa kupata watoto watatu 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30173188.wav	maonyesho katika ngazi ya kitaifa yataadhimishwa uwanja wa nyakabindi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30099281.wav	messi analipwa bilioni tatu za kitanzania kwa wiki 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35183952.wav	baada ya kumaliza kinywaji jacob alisimama na kuangalia picha za ofisini kwa bi anita 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29389832.wav	viongozi wengi hasa mawaziri wa serikali ya umoja wa kitaifa walishindwa kushika viti bungeni 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28695291.wav	afya ya meno ni sehemu muhimu ya afya ya mwili kwa jumla 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35181604.wav	twendeni kwetu ama kwao 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36746492.wav	kiswahili si dhaifu wa nadharia hii ni kwamba 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36387318.wav	abiria wa titanic walisimulia hadithi za kweli 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30653650.wav	asilimia ishirini na mbili pekee za mto nile ndizo zinahusishwa na misri 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29922493.wav	hifadhi hii ipo ndani ya bonde la ufa 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28583544.wav	kanisa hilo lina pia jimbo la mt 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37089548.wav	hasa mtu kama waziri mkuu nadhani 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29936928.wav	wasichana husimama mbele ya wanaume na kusokota miili huku wakiimba 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31306591.wav	iliwafanya wakoloni kumlazimisha nyerere kuchagua kati ya siasa na kazi ya ualimu 	1
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30561937.wav	mei kumi elfu moja mia tisa themanini na nane maalim self alikamatwa na polisi 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37096435.wav	katika maeneo ya mpwapwa na dodoma mwaka 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30378326.wav	kuliongeza umuhimu wa mwambao wa mlima karibu na unguja 	0
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37094149.wav	ni mmoja wa wazee niliofanya nao mazungumzo anasema kuwa shujaa huyo alizaliwa hapa 	0
