sentence	gender	duration	audio
sababu yake ilikuwa mashindano makali kati ya mataifa ya ulaya 	female_feminine	6.50365625	common_voice_sw_30123762.wav
ni kivutio cha aina yake cha utalii katika mji wa songea 	female_feminine	6.1275	common_voice_sw_29799553.wav
nchi ya burkina faso walikuwa wenyeji wa fainali za mataifa ya afrika 	female_feminine	4.7235	common_voice_sw_29923355.wav
ni mmea wa supu unaotumika mara nyingi au shina huchemshwa 	male_masculine	6.32365625	common_voice_sw_30735707.wav
na vile vile kuinua uchumi kwa taifa hilo 	female_feminine	3.6075	common_voice_sw_36616189.wav
ama umoja wa wachezaji wa kimataifa 	male_masculine	3.0675	common_voice_sw_36350015.wav
miaka iliyofuata kukawepo fujo na machafuko kutoka kwa waafrika 	female_feminine	6.8835	common_voice_sw_29788357.wav
mwaka elfu moja mia tisa na arobaini na sita alitumwa kaskazini kwa kupigania wasomalia 	male_masculine	6.4875	common_voice_sw_29898189.wav
alipenda viumbe wengine wa porini 	male_masculine	4.3635	common_voice_sw_36067295.wav
mwaka elfu moja mia tisa na tisini na sita mataifa jirani ya kongo yanashiriki 	female_feminine	8.6835	common_voice_sw_36642912.wav
gombe ni moja ya makazi ya machache yaliyosalia ya sokwe duniani 	female_feminine	5.7675	common_voice_sw_30337411.wav
nyota wa italia fabio canavaro alianza kucheza kombe la dunia 	male_masculine	6.7755	common_voice_sw_29896654.wav
bila kusahau halamashauri ya wilaya ya ikungi na halmashauri ya wilaya iramba 	female_feminine	5.2635	common_voice_sw_30653709.wav
argentina waliwafunga brazil kwenye fainali za kopa amerika 	male_masculine	5.9835	common_voice_sw_31409225.wav
wa kwanza kujulikana ni shemasi fransisko wa asizi 	male_masculine	5.6235	common_voice_sw_28735703.wav
waswahili wanasema umoja ni nguvu 	male_masculine	2.3475	common_voice_sw_36387889.wav
tunashindwa kujitokeza kwa wingi kutembelea hifadhi hizo kutokana na sababu mbalimbali 	male_masculine	7.3875	common_voice_sw_29897409.wav
mabadiliko kwenda kwenye utu uzima huhusisha mageuzi ya kijana 	female_feminine	5.2635	common_voice_sw_30198098.wav
kabila lingine ambalo linapatikana mkoa wa mara hususani katika wilaya ya bunda 	female_feminine	5.4435	common_voice_sw_30074741.wav
mpaka wa syria na lebanoni hufuata sehemu za juu za lebanoni ndogo 	male_masculine	5.8035	common_voice_sw_28690428.wav
ushanga huu huwa sehemu muhimu ya urembesho wa miili yao 	female_feminine	5.0835	common_voice_sw_30355848.wav
pep guardiola akachagua mbinu ya pasi nyingi 	male_masculine	2.7075	common_voice_sw_30085557.wav
uliopo tunapozungumza juu ya uchafuzi wa mazingira tunazungumzia 	female_feminine	6.1275	common_voice_sw_37225640.wav
pepo inayochukua zaidi ya kilometa za mraba elfu tatu 	male_masculine	6.1275	common_voice_sw_30114713.wav
vilevile malengo mengine yalikuwa ni katika kulinda 	female_feminine	4.2555	common_voice_sw_30364097.wav
chini ya tanganyika african umoja wa kitaifa kilichoongoza harakati za uhuru 	female_feminine	6.5955	common_voice_sw_35183622.wav
cha ndoto ya kuchinja mwanawe ismail ambacho hadi leo 	female_feminine	5.6235	common_voice_sw_30326699.wav
tukio la nahodha wa ufaransa zidane kumpiga kichwa materazi litabaki milele 	female_feminine	7.0275	common_voice_sw_30053025.wav
hotuba ya rais 	female_feminine	2.4555	common_voice_sw_34810846.wav
ilitekwa nyara jana usiku katika bahari ya arabia 	male_masculine	6.0555	common_voice_sw_36013973.wav
kwa ajili ya kufanya shughuli za uhamiaji kama ilivyo kwenye mipaka ya ardhini 	male_masculine	5.4075	common_voice_sw_29963818.wav
zoezi la kukabidhi vifaa vya kuweka alama na kudhibiti kuzagaa kwa silaha haramu 	male_masculine	6.4155	common_voice_sw_36330731.wav
aina ya tano hupatikana katika sehemu ya bara hindi na arabia 	male_masculine	4.9755	common_voice_sw_28581479.wav
tangu kale anaheshimiwa na madhehebu mbalimbali ya ukristo kama mtakatifu 	male_masculine	7.0275	common_voice_sw_28691117.wav
taifa la liberia liliwahi kutoa mwanasoka bora wa dunia 	male_masculine	7.6755	common_voice_sw_31304496.wav
katika wachezaji wanaongoza kwa kufunga mabao mengi kwenye ligi kuu ya hispania 	female_feminine	6.5955	common_voice_sw_35146289.wav
hutokea mara mbili kwa mwaka 	female_feminine	3.4635	common_voice_sw_28837181.wav
asili ya jina ethiopia haijulikani 	male_masculine	3.7155	common_voice_sw_28305859.wav
amin alipata elimu isiyo rasmi vyanzo haijulikani kama hakuhudhuria shule 	male_masculine	5.8755	common_voice_sw_29898196.wav
jamii nyingi za kipare zina utaratibu wa kushirikiana 	male_masculine	3.8955	common_voice_sw_30327257.wav
kampeni ya ukomeshaji wa biashara ya watumwa haikutoka afrika 	male_masculine	5.8035	common_voice_sw_30147436.wav
hifadhi imeendelea kuhakikisha mazingira yanasimamiwa kikamilifu 	female_feminine	5.0475	common_voice_sw_29791448.wav
walikuwepo ila kama wamisheni na sio watawala 	male_masculine	4.7955	common_voice_sw_30341845.wav
mbuni ana shingo yenye urefu wa mita moja nukta nane 	male_masculine	5.9475	common_voice_sw_29789084.wav
historia ya bara la afrika ilianza kubadilika pale 	female_feminine	3.6435	common_voice_sw_30653708.wav
mahitaji ya nishati kwa kiwango cha mzigo ni kidogo kuliko barabarani 	female_feminine	7.3155	common_voice_sw_28908656.wav
mwisho ni wilaya za muheza na tanga pia ipo mkinga na pangani 	female_feminine	6.2355	common_voice_sw_30024253.wav
sauti yako ni nzuri 	female_feminine	2.4555	common_voice_sw_36641183.wav
tanakh na pengine deuterokanoni pia haiwezekani kumuelewa 	male_masculine	7.4955	common_voice_sw_35132537.wav
uwepo wa shule za kata umesaidia kupunguza mimba na ndoa za utotoni 	female_feminine	8.6475	common_voice_sw_29789499.wav
aliendelea kuchora picha nyingi za dini juu ya habari na watu wa biblia 	male_masculine	6.3075	common_voice_sw_28682603.wav
wamasai wa tanzania walifukuzwa kutoka ardhi yenye rutuba 	male_masculine	4.4355	common_voice_sw_29997361.wav
ulijenga moyo wa kusaidiana katika shughuli za kimaendeleo 	female_feminine	4.5075	common_voice_sw_31285995.wav
inaweza hata kuchukua miaka kumi na tano nchi haijapata matokeo 	female_feminine	7.0275	common_voice_sw_30562931.wav
sasa wilaya ya chato iko katika mkoa wa geita 	male_masculine	3.6435	common_voice_sw_30434421.wav
kushiriki katika biashara ya siri ya pembe za ndovu kutoka kongo 	female_feminine	5.0835	common_voice_sw_31787696.wav
bila kutegemea msaada wowote kutoka nchi za kigeni kwa muda huo 	male_masculine	6.4155	common_voice_sw_29906511.wav
na timu ya kitaifa ya ufaransa 	female_feminine	3.6075	common_voice_sw_28666337.wav
kampuni hii ilihitaji kituo kwa ajili ya jahazi 	male_masculine	6.0915	common_voice_sw_30209722.wav
kilwa ilikuwa mji mkubwa kuanzia mwaka elfu moja baada ya kristo 	male_masculine	4.9755	common_voice_sw_29787699.wav
mzee mkapa alileta mikopo kwa wanafunzi 	male_masculine	3.7155	common_voice_sw_30183137.wav
inasemekana walikuwa huko taveta kaskazini nchini kenya 	male_masculine	4.9035	common_voice_sw_30638486.wav
vipengele vilivyo katika mchakato wa ustawi katika nchi zilizo na mapato ya chini 	female_feminine	4.9755	common_voice_sw_30585450.wav
mfugale aliajiriwa na serikali kwenye wizara ya ujenzi 	female_feminine	4.0035	common_voice_sw_31285470.wav
tausi dume ana mkia wenye urefu wa sentimita mia hamsini 	female_feminine	9.2955	common_voice_sw_30570084.wav
reunion wakakaa unguja tangu tarehe kumi na mbili 	female_feminine	5.3355	common_voice_sw_29797999.wav
nywele refu sana 	female_feminine	2.2035	common_voice_sw_37093881.wav
nigeria ilishinda ubingwa kwa kuifunga zambia 	female_feminine	5.4435	common_voice_sw_30073514.wav
ni bora pia kuthibitisha hakuna uwezekano wa madhara ya madawa au pombe 	female_feminine	5.8755	common_voice_sw_28951376.wav
swali litabaki kwa upande wa neymar ataboresha kiwango chake au atapotezwa 	male_masculine	6.4155	common_voice_sw_30327284.wav
roger miller aliingia kwenye orodha ya wachezaji waliofanya vizuri kwenye kombe la dunia 	male_masculine	7.3155	common_voice_sw_31321177.wav
aliyemfuata mwaka elfu mbili na kumi na tano 	female_feminine	3.6075	common_voice_sw_30337341.wav
bila kusahau halmashauri ya wilaya ya kilosa na halmashauri ya wilaya ya ulanga 	male_masculine	7.7475	common_voice_sw_30579097.wav
wamiliki wa watumwa walitoa zawadi kubwa kwa kurudi kwa watumwa wao 	female_feminine	7.3155	common_voice_sw_28666334.wav
kwani kutakuwa na uhakika wa umeme kwa ajili ya shughuli za viwanda 	female_feminine	5.6235	common_voice_sw_30107690.wav
kioo kimeletwa 	male_masculine	1.9875	common_voice_sw_36390197.wav
hata hivyo wapare wa mwanga wamegawanyika katika jamii mbili wasangi na wagweno 	female_feminine	6.8475	common_voice_sw_29944522.wav
ration kubwa yenye lengo la kuwatimua kwenye misitu kadhaa kivu kusini 	female_feminine	5.8755	common_voice_sw_36643652.wav
wakazi wengi wa eneo hilo ni wakulima wa kahawa na ndizi 	female_feminine	7.0275	common_voice_sw_29924694.wav
muundo wa ndani wa kilimanjaro haujulikani sana 	female_feminine	4.4355	common_voice_sw_30054475.wav
halafu ziwa edward humwaga maji yake kaskazini kupitia 	female_feminine	4.1475	common_voice_sw_31286047.wav
na hata kuwafanyia mahojiano kwa mara ya kwanza 	female_feminine	5.0835	common_voice_sw_37226012.wav
wewe utaanguka 	male_masculine	1.6635	common_voice_sw_36387520.wav
hilo ni jambo la kupongezwa kwa serikali ya awamu ya tano 	male_masculine	4.5435	common_voice_sw_30181626.wav
kaburi ilipambwa kwa kusimamisha ubao mguuni na sanamu ya ubao mwenye kofia kichwani 	female_feminine	9.1155	common_voice_sw_30561986.wav
zeno alijenga balcony iliyozuia maoni ya anthemius au zaidi ya kushinda mahakamani 	male_masculine	6.8475	common_voice_sw_37090435.wav
bi anita alimpa ruhusa jabir kumuoa juliana owimana na juliana alilitegemea kwsababu alifahamu ukweli 	female_feminine	9.5835	common_voice_sw_36641214.wav
tarehe mbili mwezi mei mwaka huu wa elfu mbili na kumi na moja 	female_feminine	4.6875	common_voice_sw_34834573.wav
wanyaturu ni moja ya makabila yanayojumlishwa katika kundi la nilo hamites 	female_feminine	6.6675	common_voice_sw_31823795.wav
kia maslahi ya kundi la watu wachache kwa kibaraka 	female_feminine	6.2355	common_voice_sw_35104537.wav
kwa njia hii seli inaweza kutawala ni nini inayoweza kuingia au kutoka 	male_masculine	8.2155	common_voice_sw_28669344.wav
