audio,sentence
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29995193.wav,sheria hizi za muungano zilithibitisha hati za muungano 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29836474.wav,nyerere alikufa akiwa katika matibabu nchini uingereza 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37089912.wav,kuanzia karne hadi karne wakawa na nguvu na 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28733314.wav,uso wa nchi ni tambarare na mita chache tu juu ya uwiano wa bahari 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34764321.wav,nakumbuka nilipovunjika jinsi ulivyoniinua 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28592244.wav,nchini china bahari hii inaitwa bahari ya mashariki 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29899302.wav,miaka ya nyuma wazigua waliabudu miungu mbalimbali kama mawe moto na miti mikubwa 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30183202.wav,fanya mazoezi kwenye sehemu zenye milima na uongeze uzito 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29978203.wav,wachezaji wanapotaka kuhama timu zao za awali 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37094913.wav,kiliibuka na kuwa moja ya vikundi vya wapiganaji ambavyo vilikuwa 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30653494.wav,alishalizoea bunge akiwa msaidizi wa raisi mstaafu wa awamu ya nne jakaya kikwete 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30321981.wav,mataifa ambayo aliyataja amin mara kwa mara yalikuwa ni cuba marekani na israeli 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34598029.wav,unaweza kupatwa na dalili nyingine zitokanazo na homa hizi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29899373.wav,kwa kudai eti watumwa waliona bahari ambako watasafarishwa 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30644249.wav,vilevile kutumia maji vizuri hasa katika shughuli za kilimo 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30363787.wav,wakati leo tunakumbuka tukio hili ambalo limeacha simanzi mioyoni mwetu 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30380791.wav,wakajibu kwamba wenzao walikuwa wamezarama yaani walikuwa wamelowea au kuzamia 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30075275.wav,huwa hawaondoki na wanaweza kukaa kwako hata mwezi wanatambika tu 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37092077.wav,ilikuwa sifuri unaitwa dokta nani naitwa dokta rukia wizara ya afya kitengo cha tiba 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35099286.wav,kwa mfano kwamba virusi havilengi makundi fulani ya jamii 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29941785.wav,wengi wao hutunzwa na nyanya na babu wazee 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30114484.wav,hupata baraka za kimasai kutoka kwa wamzee wa kimasai kutoka kwa jamii 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34761102.wav,alikula samaki wote wa baba 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30017274.wav,sudan walicheza fainali mbili mfululizo za mataifa ya afrika 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30177380.wav,mia moja na ishirini kutoka iringa mjini 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30667250.wav,simulizi inayoendana na ufafanuzi wa matukio yanayoripotiwa 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30351545.wav,madiliko haya yalifanyika miaka miwili tu baada ya kuandikwa kwa katiba ya tanzania 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29944518.wav,pep aliishia robo fainali kwa mara ya kwanza alipokuwa bayern 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30175864.wav,kwenye nembo ya taifa kuna alama ya mwenge wa uhuru 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29948493.wav,historia ya wajita inasemekana makabila mengi ya mkoani mara si wabantu asilia 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29839324.wav,mwalimu nyerere wa tanzania alikuwa mfano bora 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_32244814.wav,ah nawewe sikupi 
