audio	sentence	gender	duration
common_voice_sw_30380504.mp3	cha kushangaza ni kwamba jina nelson siyo jina alilopewa na wazazi wake 	male_masculine	6.4155
common_voice_sw_36350555.mp3	hakimu wa mkaazi wa mahakama ya belmas jijini london uingereza howart riddle 	male_masculine	4.7955
common_voice_sw_29902326.mp3	mkataba wa versailles wa mwaka mwaka elfumoja mia tisa kumi na tisa 	male_masculine	6.7035
common_voice_sw_36746536.mp3	lakini mwanzo watachukua kuthibiti 	female_feminine	3.3555
common_voice_sw_29945757.mp3	kesi za jinai ni kesi za jamhuri ya muungano wa tanzania 	male_masculine	5.7675
common_voice_sw_28666746.mp3	walikuwa wakiwarusha wanadensi kwa hewa mtu mmoja baada ya mwingine 	female_feminine	5.5875
common_voice_sw_30008824.mp3	donald ngoma na wengine hawachezi katika timu zao lakini ni wafalme wa soka tanzania 	male_masculine	7.2435
common_voice_sw_31285430.mp3	mwinuko wa ardhi kutoka usawa wa bahari ni mita elfu moja mia tano 	female_feminine	4.4355
common_voice_sw_36381395.mp3	kulikuwa na pengo za kura 	male_masculine	1.7355
common_voice_sw_29788021.mp3	jiji linao wataalam wa kutosha na katika banda letu hapa nanenane tutaendelea 	male_masculine	6.5955
common_voice_sw_30553317.mp3	pia bahari hii imevutia uwekezaji kwa kiasi kikubwa katika mataifa ya ukanda ule 	female_feminine	7.1355
common_voice_sw_29956093.mp3	kutatua upungufu wa ufadhili wa bajeti kisha kurekebisha na kuunda miundo msingi 	male_masculine	7.5675
common_voice_sw_29796492.mp3	kondoo wanafugwa kwa wingi sehemu za nyanda za juu za kenya 	male_masculine	6.1275
common_voice_sw_34840789.mp3	vinavyoonesha kuwa kuna watu walionusurika na tetemeko la ardhi 	female_feminine	6.7755
common_voice_sw_30008246.mp3	twiga hupendelea zaidi kula majani na matunda kutoka kwenye miti marefu 	male_masculine	6.4155
common_voice_sw_30583046.mp3	ipo mito na maziwa pia misitu na madini 	male_masculine	4.6155
common_voice_sw_36642319.mp3	uliendelea hadi mwaka elfu moja mia tisa tisini mwishoni matatizo ya uchumi yalizidi kwa 	female_feminine	5.7675
common_voice_sw_31405977.mp3	vijiji vilivyosajiliwa mia sita sitini na mbili 	female_feminine	4.2555
common_voice_sw_30635687.mp3	ikumbukwe kuwa mataifa mengi barani afrika yalipata bendera zao 	male_masculine	6.4155
common_voice_sw_31389509.mp3	wanaopatikana ndani yake na kati yao ni simba na nyumbu 	male_masculine	7.5675
common_voice_sw_29987625.mp3	waingereza wakashika nafasi ya kwanza kabisa wakauza watumwa popote 	male_masculine	7.1355
common_voice_sw_31304429.mp3	kikwete ndiye aliyemvutia kuingia kwenye siasa kwasababu alimpa nafasi ya kufanya kazi kwenye siasa 	male_masculine	9.5475
common_voice_sw_30117977.mp3	luther aliendelea kutoa mafundisho kwa ajili ya kanisa linalofuata maagizo 	male_masculine	7.3155
common_voice_sw_30569986.mp3	malazi katika hifadhi hii ni pamoja na hotel kambi za wageni 	female_feminine	9.9435
common_voice_sw_28694976.mp3	aliwahi kucheza timu ya taifa ya ugiriki 	male_masculine	3.6075
common_voice_sw_30090645.mp3	hifadhi ya milima mahale ni makazi ya jamii adimu zilizobakia za sokwe barani afrika 	male_masculine	7.0635
common_voice_sw_29996753.mp3	dhati wazee wote wa simulizi za 	male_masculine	3.1755
common_voice_sw_31321717.mp3	lakini huko geita katika mkoa wa geita 	male_masculine	4.0035
common_voice_sw_28725644.mp3	albamu hii ilipata mafanikio kwa kuuza zaidi ya nakala milioni saba kote duniani 	male_masculine	6.4875
