audio	sentence
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30380504.wav	cha kushangaza ni kwamba jina nelson siyo jina alilopewa na wazazi wake 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36350555.wav	hakimu wa mkaazi wa mahakama ya belmas jijini london uingereza howart riddle 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29902326.wav	mkataba wa versailles wa mwaka mwaka elfumoja mia tisa kumi na tisa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36746536.wav	lakini mwanzo watachukua kuthibiti 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29945757.wav	kesi za jinai ni kesi za jamhuri ya muungano wa tanzania 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28666746.wav	walikuwa wakiwarusha wanadensi kwa hewa mtu mmoja baada ya mwingine 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30008824.wav	donald ngoma na wengine hawachezi katika timu zao lakini ni wafalme wa soka tanzania 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_31285430.wav	mwinuko wa ardhi kutoka usawa wa bahari ni mita elfu moja mia tano 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36381395.wav	kulikuwa na pengo za kura 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29788021.wav	jiji linao wataalam wa kutosha na katika banda letu hapa nanenane tutaendelea 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30553317.wav	pia bahari hii imevutia uwekezaji kwa kiasi kikubwa katika mataifa ya ukanda ule 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29956093.wav	kutatua upungufu wa ufadhili wa bajeti kisha kurekebisha na kuunda miundo msingi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29796492.wav	kondoo wanafugwa kwa wingi sehemu za nyanda za juu za kenya 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34840789.wav	vinavyoonesha kuwa kuna watu walionusurika na tetemeko la ardhi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30008246.wav	twiga hupendelea zaidi kula majani na matunda kutoka kwenye miti marefu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30583046.wav	ipo mito na maziwa pia misitu na madini 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36642319.wav	uliendelea hadi mwaka elfu moja mia tisa tisini mwishoni matatizo ya uchumi yalizidi kwa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_31405977.wav	vijiji vilivyosajiliwa mia sita sitini na mbili 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30635687.wav	ikumbukwe kuwa mataifa mengi barani afrika yalipata bendera zao 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_31389509.wav	wanaopatikana ndani yake na kati yao ni simba na nyumbu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29987625.wav	waingereza wakashika nafasi ya kwanza kabisa wakauza watumwa popote 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_31304429.wav	kikwete ndiye aliyemvutia kuingia kwenye siasa kwasababu alimpa nafasi ya kufanya kazi kwenye siasa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30117977.wav	luther aliendelea kutoa mafundisho kwa ajili ya kanisa linalofuata maagizo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30569986.wav	malazi katika hifadhi hii ni pamoja na hotel kambi za wageni 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28694976.wav	aliwahi kucheza timu ya taifa ya ugiriki 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30090645.wav	hifadhi ya milima mahale ni makazi ya jamii adimu zilizobakia za sokwe barani afrika 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29996753.wav	dhati wazee wote wa simulizi za 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_31321717.wav	lakini huko geita katika mkoa wa geita 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28725644.wav	albamu hii ilipata mafanikio kwa kuuza zaidi ya nakala milioni saba kote duniani 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34746882.wav	kuingia ndani ya eneo la jamhuri ya kidemokrasia ya kongo ya leo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30020249.wav	pep mpaka leo anakumbukwa nchini hispania 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36732120.wav	umoja wa umma wa wanafunzi wa afrika kusini 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36318678.wav	mwenyeji anaweza kuarika watu wawili wa kufanya nao mazungumzo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29787928.wav	bila matibabu asilimia hamsini ya watu walio na ugonjwa unaosababisha mtoki hufa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29923538.wav	kati ya washona wenye idadi kubwa ya watu wengi na wandebele 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30182078.wav	dalili za jumla za ugonjwa wa kisukari ni pamoja na jaa na kiu viliyoongezeka 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28583895.wav	hali hii inaweza kutokea hadi wiki sita baada ya kuzaa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36383706.wav	mwaka huu ngega amewambia maseneta kuwa siku saba zaidi zitatosha 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30668373.wav	hata baada ya mwinyi kuondoka madarakani mwaka elfu moja mia tisa themanini na tano 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36368206.wav	alijikusanyia asilimia ishirini na tano nukta sitini na sita 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29792060.wav	aliruhusiwa kurudi nyumbani na maisha yake yalikuwa hatarini 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37093018.wav	tanzania bara ilipata uhuru tarehe tisa mwezi wa kumi na mbili 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34746748.wav	na pamoja na tunatambua 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36299528.wav	na ni wakatoliki suala la sharia au sheria za kiislamu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36310746.wav	tusker walikuja wakachukua ushindi kwa huo uwanja wa afuraha 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29787942.wav	kama serikali imedhamiria kuikomboa wilaya ya makete barabara ndio chanzo za maendeleo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30582772.wav	shughuli kuu za kiuchumi kwa wasukuma ni kilimo uvuvi ufugaji na biashara 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28583831.wav	nchi nyingi zina utamaduni wa pekee jinsi ya kutengeneza chai 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29391556.wav	aloi hizi huwa ni imara sana 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30640489.wav	watu wote wanaotumia dawa za kufubaza kinga ya mwili 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29564841.wav	kwanza kuna joto halafu ukame 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29939684.wav	hasa yenye usanifu wa kiarabu kihindi kijerumani na kitamaduni 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29986488.wav	bonde hilo lipo katika hifadhi ya ngorongoro 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30024969.wav	mazao hayo yamekuwa yakilimwa sehemu za milimani 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34940018.wav	na pia kuna watu ambae wanakabiliana na 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36383744.wav	waliendelea kuwashambulia tarehe nne julai elfumoja miasaba sabini na sita 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28672915.wav	muundo huu umekuwa maarufu ndani ya muda mfupi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30122514.wav	iliaminika kuwa nyerere alikuwa anahusika na kuanguka 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34944092.wav	jacob aliwaona wale vijana dirishani na kumaliza misheni yake hapo hapo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_35107675.wav	kudumisha mitandao hiyo hata katika sehemu zenye ufuatiliaji mzuri 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34941863.wav	iran ina mchanganyiko wa makabila na dini uliounganishwa na 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34980400.wav	wakielekea katika mkutano unaoendelea sasa hivi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36380925.wav	kwanza kuwa na viwanda vingi viwanda vyake 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29795472.wav	makabila maarufu katika utamaduni huu ni wazaramo na wamakonde 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30351705.wav	makabila mengi nchini tanzania ni wajukuu wa wahamiaji 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29863568.wav	kama vashamba kwa maana ya wasambaa huko mkoani tanga 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30008764.wav	kwa kutumia usafiri wa mamlaka ya hifadhi ya ngorongoro 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30195876.wav	mhusika ni mtu mashuhuri na mwenye wadhifa mkubwa katika nyanja ya ulinzi na usalama 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30385740.wav	ni wa elfu moja mia tano sitini na moja duniani kwenye orodha ya mabilionea 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30020140.wav	ni jina ambalo wekundu hawa wa msimbazi wana kumbukumbu nalo sana 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_35410037.wav	kuwait iliendelea kama nchi lindwa chini ya uingereza hadi kupata uhuru 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29752771.wav	kila hatua ina sifa zake na matatizo yake maalumu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28666668.wav	ngozi ya tunda inaweza kuwa nene au nyembamba wakati mwingine huwa na ladha chungu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29573138.wav	hula manyasi hasa lakini pengine matunda mbegu na majani pia 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30653592.wav	walitozwa pesa kubwa ukilinganisha na mshahara wanaopata ni kidogo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30053172.wav	ulitilia mkazo masomo ya kiufundi kwa matarajio kuwa muundo huu mpya utawawezesha 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29092788.wav	alizaliwa huko madrid 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30326736.wav	ni lazima warejee ndutu ambapo huwa wanazaa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29997606.wav	kwa sababu wao wana meno na hutoa pia mwangwi unaoweza kusikika kwa maili nyingi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30668371.wav	taarifa mbaya zikaenea ulimwenguni kote baada ya kutangazwa kwame nkrumah amefariki 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36642227.wav	mwaka jana enamuel makundi ana 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29391656.wav	kwa kipindi fulani alikuwa pia mkuu wa chuo cha aleksandria 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29613314.wav	mabata domomeno hula samaki 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_31909764.wav	usipoukata utakukata 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36389505.wav	vikwazo ambavyo vinaathiri biashara kati ya kenya na tanzania 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30257272.wav	waandishi wa kazi yeyote daima anaiandaa kazi yake huku akimfikiria msomaji wa kazi hiyo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29787856.wav	vikundi vyenye silaha huajiri vijana ambao hutangatanga kote nchini bila matumaini yoyote 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29797002.wav	hususan upande wa kusini wa koloni lao kutoka kwa makabila 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30315399.wav	jazba ilipanda huku misururu ya kupata ikiendelea kurefuka 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29924160.wav	unatakiwa kuamini kwamba wewe ni mrembo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37088747.wav	wanawake wapatao thelathini wanalima mwani pembezoni mwa bahari 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_32242851.wav	tutatembelea vivutio vya utalii 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28814106.wav	neno hilo lina asili ya kibantu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30382747.wav	kangaroo ni alama ya utambulisho wa taifa lao pia amewekwa katika ngao ya taifa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37222987.wav	china ya endelea kushinikiza imutoe kifungoni mshindi wa tuzo ya amani ya nobel 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28584626.wav	mara nyingi mkutano mkuu wa dayosisi au wa jimbo la kanisa huitwa pia sinodi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36642170.wav	mdimangombe kabla ya kuwa sultan alilelewa na kutumwa kazi na mndewa mkulu mwande ambaye 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30196414.wav	hukumu hiyo yenye kurasa mia kumi na nane iliyoandikwa kwa mkono nakusomwa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37094554.wav	ajali hiyo inaonyesha upendo na uaminifu kwa mwanaume 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30550899.wav	mara nyingi mgonjwa wa tauni inayosambaa kwenye damu na inayosababisha nyumonia 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30582879.wav	nchini tanzania upo utaalamu wakuotesha uyoga ndani ya nyumba hata nje 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29942151.wav	mataifa ya ushirikiano yalianza kusogea mbele pande zote 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36642225.wav	kamili usiku mjini brussels ambayo ndio makao makuu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29904877.wav	ndani ya ngorongoro olduvai george ndipo kuligundulika uwepo wa binadamu wa kwanza duniani 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_35181772.wav	kuanzia mwaka wa mia nne hivi na wakati wa utawala wa roma 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37215206.wav	hakuna watu wengi huku 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29296516.wav	zipo shule nyingi za zamani na mpya katika maeneo ya wapare 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29942121.wav	tunapaswa tuwe makini katika kujenga mazingira yetu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30109606.wav	rais aongeze kasi ya utekelezaji wa mapendekezo yaliyotolewa na wafanyabiashara 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34980395.wav	vuta nikuvute 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29309168.wav	uchumi wa kisasa ulianzishwa kwa mashamba ya miwa na uvuvi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28672881.wav	makao makuu yake yako jibuti 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29736400.wav	spishi hiyo imetoweka bangladesh 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30635696.wav	kwenye njia ya kuelekea mwanza abiria wengi walifariki 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_35198835.wav	ukoloni lakini sasa wengi waliachishwa au kupinduliwa na serikali kama hawakufuata maagizo yote kutoka 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29947192.wav	hatua iliyomsababishia kufungwa jela mara kadhaa lakini aliweza kuiongoza nchi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36382631.wav	benki itawezesha mfumo thabiti wa kufanya malipo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30020159.wav	hivyo somalia ilihesabiwa kati ya nchi za upande wa mashariki mwa ulaya 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29787988.wav	hata kwa kulibebesha jukumu kubwa la kujiimarisha 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_35171862.wav	vigezo mbalimbali muhimu vinazingatiwa kupata orodha ya nchi safi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28970094.wav	yohane wa mungu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29941715.wav	malaria ni maambukizi ya seli nyekundu za damu inayosababishwa na vimelea vinavyoitwa kitaalamu plasmodiumu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37099200.wav	inashughulikia kanuni za fedha na sheria ndogo ndogo za wafanyakazi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34979464.wav	ametupatia nafasi mia mbili na hamsini kwa jeshi la zimamoto na uokoaji 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30071943.wav	alikuwa naibu spika wa bunge tangu mwaka elfu mbili 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28690934.wav	miamba kwa kawaida huwa na madini mbili au zaidi ndani yake 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28681856.wav	hii ilikuwa aloi ya kwanza inayojulikana kuwa ilitumiwa na binadamu katika historia yake 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28673130.wav	hawezi kuwa kiongozi mzuri 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30443113.wav	kwa bara la afrika hasa kwa upande wa magharibi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28820664.wav	mji mkuu ni kisumu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30378789.wav	katika kugawanyika huko kuna kimachame na kirombo ambacho nacho kinatofautiana 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36389818.wav	wakati akitembea kwenye tope maeneo fulani watu walikuwa na kikao 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29797607.wav	bao moja la ronaldo lilimvutia kila mtazamaji 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28663159.wav	mji wa magadi upo kwenye pwani ya mashariki ya ziwa hili 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29923335.wav	ufaransa iliteka mashabiki wa soka kwenye michuano hiyo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29959268.wav	ikumbukwe kwamba wadigo ni kabila linalojali na kuthamini mila na desturi zao kama chakula 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30635644.wav	wenzao wa kisomailia kwa rangi yao 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30329267.wav	hadi mwaka wa elfu moja mia nane themanini na nane 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30372989.wav	udogo wa umbo la blob unafanya watu wengi kutoamini uwezo wake 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29915169.wav	manaibu gavana na wakurugenzi wawili wasiokuwa watendaji 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30327661.wav	ukoloni wa ujerumani uliondoka tanzania kwenye vita ya kwanza ya dunia 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29942807.wav	timu yenye thamni ya juu zaidi katika ligi ya premia 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36386141.wav	uturuki na ugiriki mnamo mwaka wa elfumoja miatisa hamsini na mbili 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34745545.wav	sehemu za magharibi zina milima mingi ambayo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37331989.wav	sauti ya amerika kupitia barazani na swali la leo maswali na majibu na salamu zenu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_31940453.wav	watoto awa waandika uzuri 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36390073.wav	historia ya meli ya ushindani wa banal ndiyo iliyopelekea titanic kuundwa 
