audio	sentence
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37089912.wav	kuanzia karne hadi karne wakawa na nguvu na 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28733314.wav	uso wa nchi ni tambarare na mita chache tu juu ya uwiano wa bahari 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37094913.wav	kiliibuka na kuwa moja ya vikundi vya wapiganaji ambavyo vilikuwa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30653494.wav	alishalizoea bunge akiwa msaidizi wa raisi mstaafu wa awamu ya nne jakaya kikwete 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34598029.wav	unaweza kupatwa na dalili nyingine zitokanazo na homa hizi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30075275.wav	huwa hawaondoki na wanaweza kukaa kwako hata mwezi wanatambika tu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37092077.wav	ilikuwa sifuri unaitwa dokta nani naitwa dokta rukia wizara ya afya kitengo cha tiba 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_35099286.wav	kwa mfano kwamba virusi havilengi makundi fulani ya jamii 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34761102.wav	alikula samaki wote wa baba 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30017274.wav	sudan walicheza fainali mbili mfululizo za mataifa ya afrika 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30177380.wav	mia moja na ishirini kutoka iringa mjini 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30667250.wav	simulizi inayoendana na ufafanuzi wa matukio yanayoripotiwa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30351545.wav	madiliko haya yalifanyika miaka miwili tu baada ya kuandikwa kwa katiba ya tanzania 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29944518.wav	pep aliishia robo fainali kwa mara ya kwanza alipokuwa bayern 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30175864.wav	kwenye nembo ya taifa kuna alama ya mwenge wa uhuru 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29948493.wav	historia ya wajita inasemekana makabila mengi ya mkoani mara si wabantu asilia 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29270144.wav	ndege huyu huonekana katika nembo ya nchi za sudan na afrika kusini 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29797317.wav	shule ya sekondari ya elboro mkoani arusha kaskazini mwa tanzania 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34747207.wav	kuwa na usiri mkubwa na hakuna taarifa za kueleweka ni nini hasa chanzo chake 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34958702.wav	matumaini yangu ni ya hakika 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_34764776.wav	katika kutembea alikutana na kibao alichokua akikitafuta alitembea na kukifuata kile kibao 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30193248.wav	mitetemeko yote inayohusiana na milima ya litembo ilijengwa vibanda 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29519032.wav	chakula cha asili kama ilivyo kwa mkoa wote wa kagera ni ndizi 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30315594.wav	jina hilo limetokana wakazi wa eneo hilo ambalo ni kabika la waluguru 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30175833.wav	mara nyingine dhana ya kiuchumi huwa tu ni ya kueleza jinsi ya kitu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_35172687.wav	mini kwa kufanya hivyo kutafungua mioyo mioyo ya wananchi hao 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30585147.wav	mpambano mkubwa zaidi baina ya vikosi vya tanzania 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29793513.wav	pamoja na kusambaza dini ya uislamu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_31285664.wav	lakini pia kwa makazi ya viumbe hai waishio majini 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29959425.wav	vita baridi vilikuwa ni vita ambavyo havikutumia siilaha kama ilivyo kwa vita vingine 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36105514.wav	aweze kutumwa na kufanya kazi mahali popote 
