audio,sentence
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29924974.wav,tofauti na maandishi yake ya kidini yaliyotolewa kwa jina lake halisi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30366301.wav,malugala anasimulia kwamba ugomvi ulitokea baadae 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37220047.wav,mungu alipoweka misingi ya dunia sabato haina uvuli wowote wa wokovu na haikuumbwa ili 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37225848.wav,imi ni ebi shaban abdala na awali ya yote 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30327028.wav,barcelona ilishinda mabao matatu kwa moja 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29793389.wav,wanapenda haki itendeke hawapendi ubabaishaji 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36643012.wav,mungu wetu yuko mbinguni 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34597078.wav,ni salum alfan baruan 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35171865.wav,wanafana kazi zao na maafisa watendaji wa mitaa japo kwenye kazi zao za jadi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34958043.wav,meskhetian walikwenda amerika chini ya mpango mkubwa 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28584506.wav,alianza kufanya kazi katika sekta binafsi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30182912.wav,tukio hilo litakuwa na washiriki kutoka ndani na nje ya nchi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30109570.wav,ukipita tambarare husababisha mabadiliko katika jami na nyasi ndefu 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34748016.wav,bwana kingu lakini katika siku za karibuni kumekuwa na na vita 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28666519.wav,baada ya siku nne polisi wa jiji la seoul walifanya uchunguzi hakukutwa na hatia 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30325486.wav,uingereza ulieneza zaidi mvuto wake karne ya kumi na tisa 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31997303.wav,pumzi ni pumzi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34944103.wav,mzee wa kijiji ni yupi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29791527.wav,mwaka huohuo luther aliitwa mbele ya bunge la ujerumani ili ajitetee 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31812294.wav,wahariri wengi walimsaidia kuhariri uwezo wake wa kuandika habari 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29793234.wav,kaskazini magharibi mwa tanzania mpakani mwa nchi hizi mbili 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35155411.wav,ya miti mitubwi na kuingia bara la ulaya 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30345925.wav,antony wa ngao alitawala ufipa tangu mwaka elfu moja mia tisa themanini na tisa 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30367017.wav,huu ni muhula wangu wa pili na wa mwisho madarakani 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29925858.wav,alikaa sudan kwa kipindi cha muda wa miaka 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29593952.wav,wakazi wengi huishi mashambani ama vijijini au kama wahamiaji katika makambi yao ya kuhama 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29792253.wav,uhuru wake mwaka wa elfu moja mia tisa sitini na tatu 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36640865.wav,kibedui aliyezaliwa mwaka wa elfu moja mia tisa arobaini na mbiliwengi walimuita tu 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34991516.wav,kwa wadhifa wa uwaziri na ili ajijenge kisiasa anapaswa kusimamia masuala ya kitaifa kwa 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29252682.wav,aliyemfuata ni mdogo wake go sai 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_34826812.wav,huko ulienea pamoja na ustaarabu wa magharibi ulioathiriwa sana 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30060839.wav,yapo mabarafu makubwa yenye uzito wa zaidi ya tani milioni kumi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30436163.wav,kuwavutia watazamaji juu ya wazo kuu 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35409510.wav,hivyo mwani ni pesa mwani ni chakula na mwani ni zawadi kutoka kwa mungu 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35146149.wav,mba kwa huko nyuma katika mtazamo wa kijamii 
