sentence	gender	duration	audio
nane ni mkazo nia sahihi 	female_feminine	3.0675	common_voice_sw_29268788.wav
baada ya hapo alijiunga na shule ya sekondari ya ngambo 	female_feminine	4.4355	common_voice_sw_29797377.wav
dhidi ya marekani na kila rafiki wa marekani 	female_feminine	5.0475	common_voice_sw_30175984.wav
kubainisha makundi ya jamii hizo lakini muingiliano bado haujapata ufafanuzi makini 	female_feminine	7.7835	common_voice_sw_35161019.wav
mama mkwe ni yule 	female_feminine	2.0955	common_voice_sw_35587972.wav
inasemekana alikuwa shemasi 	female_feminine	4.0755	common_voice_sw_29176805.wav
kila mtu aliamini pep atamaliza maisha yake ya soka 	female_feminine	4.0035	common_voice_sw_29793885.wav
aliyekuwa amejiinamia akauliza aliyekuwa akimwita ni nani 	female_feminine	4.9755	common_voice_sw_36644607.wav
misitu na mapori tengefu yametengwa kuhifadhi mazingira ya utalii 	female_feminine	4.6875	common_voice_sw_31270198.wav
pili kushirikiana katika kula kunachochea ushirikiano katika mambo mengine 	female_feminine	6.5955	common_voice_sw_29788356.wav
baada ya vita ya miaka saba uingereza 	female_feminine	4.0755	common_voice_sw_35160914.wav
mbundikebundike huna haja ya kumsonga kilimanjaro kama kawaida 	female_feminine	6.2355	common_voice_sw_31996016.wav
mwaka elfu moja mia tisa sabini serikali iliipa kazi kampuni ya upangaji miji 	female_feminine	7.1355	common_voice_sw_30017714.wav
mkoa huu ulikuwa na majimbo ya uchaguzi ambayo ni geita mjini 	female_feminine	6.1635	common_voice_sw_34835479.wav
alpi katika kusini ni milima mirefu ujerumani ingawa 	female_feminine	5.5155	common_voice_sw_35107850.wav
watumwa walifikishwa eneo hilo la mkunazini 	female_feminine	3.5355	common_voice_sw_37099455.wav
halmashauri ya wilaya ya kishapu na halamshauri ya kahama mjini 	female_feminine	4.3635	common_voice_sw_30022519.wav
zinazotumiwa na wavuvi wadogo wadogo wa mataifa haya 	female_feminine	6.3075	common_voice_sw_29793059.wav
wasukuma pia wanajihusisha sana na kilimo cha mazao ya nafaka na mifugo 	female_feminine	4.6155	common_voice_sw_30582057.wav
ufaransa na urusi pia mataifa ya uingereza na italia bila kuisahau marekani 	female_feminine	6.1275	common_voice_sw_29792594.wav
uharibifu huu unatokana na sababu mbalimbali kama vile kutokana na wakati 	female_feminine	6.1275	common_voice_sw_30378622.wav
kama kawaida tunge tunge enda kwa tungeenda mahakamani 	female_feminine	3.9675	common_voice_sw_34958947.wav
bado walikuwa wakitafuta nafasi ya kulipa kisasi cha lugalo walidai kuwa chifu amevunja mkataba 	female_feminine	8.7555	common_voice_sw_35156874.wav
baada ya kupigwa kwa imani yao waliuawa wakati wa dhuluma ya kaisari decius 	female_feminine	9.7635	common_voice_sw_29150759.wav
kufuatia ukosefu wa rasilimali watu yani nguvu kazi ya kibinadamu 	female_feminine	6.8475	common_voice_sw_29924843.wav
nilijikuta nauliza bila kupata majibu yake 	female_feminine	4.4355	common_voice_sw_30718368.wav
alimaliza elimu ya msingi na sekondari katika jimbo la delta 	female_feminine	4.3635	common_voice_sw_29659990.wav
usiku upepo unavuma kutoka juu kuelekea chini 	female_feminine	3.2835	common_voice_sw_30585336.wav
asilimia ishirini na mbili pekee za mto nile ndizo zinahusishwa na misri 	female_feminine	5.6235	common_voice_sw_30653650.wav
