sentence	gender	duration	audio
tofauti na maandishi yake ya kidini yaliyotolewa kwa jina lake halisi 	female_feminine	5.8755	common_voice_sw_29924974.wav
malugala anasimulia kwamba ugomvi ulitokea baadae 	female_feminine	4.9755	common_voice_sw_30366301.wav
mungu alipoweka misingi ya dunia sabato haina uvuli wowote wa wokovu na haikuumbwa ili 	female_feminine	8.5035	common_voice_sw_37220047.wav
imi ni ebi shaban abdala na awali ya yote 	female_feminine	4.9035	common_voice_sw_37225848.wav
barcelona ilishinda mabao matatu kwa moja 	female_feminine	5.4075	common_voice_sw_30327028.wav
wanapenda haki itendeke hawapendi ubabaishaji 	female_feminine	4.7955	common_voice_sw_29793389.wav
mungu wetu yuko mbinguni 	female_feminine	2.2755	common_voice_sw_36643012.wav
ni salum alfan baruan 	female_feminine	3.1755	common_voice_sw_34597078.wav
wanafana kazi zao na maafisa watendaji wa mitaa japo kwenye kazi zao za jadi 	female_feminine	7.3155	common_voice_sw_35171865.wav
meskhetian walikwenda amerika chini ya mpango mkubwa 	female_feminine	4.6155	common_voice_sw_34958043.wav
alianza kufanya kazi katika sekta binafsi 	female_feminine	4.2555	common_voice_sw_28584506.wav
tukio hilo litakuwa na washiriki kutoka ndani na nje ya nchi 	female_feminine	5.5875	common_voice_sw_30182912.wav
ukipita tambarare husababisha mabadiliko katika jami na nyasi ndefu 	female_feminine	6.3075	common_voice_sw_30109570.wav
bwana kingu lakini katika siku za karibuni kumekuwa na na vita 	female_feminine	7.4235	common_voice_sw_34748016.wav
baada ya siku nne polisi wa jiji la seoul walifanya uchunguzi hakukutwa na hatia 	female_feminine	7.4955	common_voice_sw_28666519.wav
uingereza ulieneza zaidi mvuto wake karne ya kumi na tisa 	female_feminine	5.4435	common_voice_sw_30325486.wav
pumzi ni pumzi 	female_feminine	2.3835	common_voice_sw_31997303.wav
mzee wa kijiji ni yupi 	female_feminine	2.8155	common_voice_sw_34944103.wav
mwaka huohuo luther aliitwa mbele ya bunge la ujerumani ili ajitetee 	female_feminine	6.3075	common_voice_sw_29791527.wav
wahariri wengi walimsaidia kuhariri uwezo wake wa kuandika habari 	female_feminine	5.27965625	common_voice_sw_31812294.wav
kaskazini magharibi mwa tanzania mpakani mwa nchi hizi mbili 	female_feminine	6.5955	common_voice_sw_29793234.wav
ya miti mitubwi na kuingia bara la ulaya 	female_feminine	3.8955	common_voice_sw_35155411.wav
antony wa ngao alitawala ufipa tangu mwaka elfu moja mia tisa themanini na tisa 	female_feminine	6.9555	common_voice_sw_30345925.wav
huu ni muhula wangu wa pili na wa mwisho madarakani 	female_feminine	3.9675	common_voice_sw_30367017.wav
alikaa sudan kwa kipindi cha muda wa miaka 	female_feminine	4.5435	common_voice_sw_29925858.wav
wakazi wengi huishi mashambani ama vijijini au kama wahamiaji katika makambi yao ya kuhama 	female_feminine	9.4035	common_voice_sw_29593952.wav
