audio,sentence
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30121939.wav,pesa inaweza kurahisisha mambo magumu 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30582795.wav,wakiwa wamevalishwa nguo mpya na mikononi mwao wakiwa wameshika miamvuli 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28663292.wav,athira ya kiarabu huonekana katika majengo ya kihistoria hadi leo hii 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36383780.wav,kinyago hicho kilichochongwa na wenye pesa 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28246350.wav,wana kichwa kikubwa kwa kulinganisha mkia mfupi na domo na miguu zenye nguvu 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_36013858.wav,ukaogopa na kuanza kukimbia lakini ni nyoka 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30631072.wav,baada ya uhuru aliyekuwa waziri mkuu wa kwanza wa tanzania 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30142366.wav,watoto wa baadhi ya viongozi wakisoma shule za gharama wanae wamesoma shule za kawaida 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30635728.wav,mourinho ni kocha asiyekubali kushindwa kirahisi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30671505.wav,ilijengwa kati ya mwaka elfu moja mia tisa na sabini 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30091135.wav,watu wamekuwa wakivutiwa na msitu wa shengena 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29019735.wav,vile hutumiwa katika roketi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29846249.wav,maalim self alianza kuugua january kumi na tisa elfu mbili na ishirini na moja 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31304319.wav,kijadi wamasai hula nyama na maziwa pia damu ya ngombe 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29789286.wav,tanzania imeongozwa na maraisi tofauti hadi sasa 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_31329052.wav,kuchaguliwa mchezaji bora wa dunia mwaka elfu mbili na nane 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30327507.wav,ameshinda ubingwa katika kila timu aliyoifundisha 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29943791.wav,mashtaka dhidi yake yalifunguliwa na wakili wake aitwae dinshaw karai 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30144485.wav,sehemu ya kwanza ya sherehe hizi ni sherehe ya enoto 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28876251.wav,kuna visiwa vingi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30202111.wav,pia upande wa kusini magharibi mwa nchi ya burundi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35132753.wav,sudan kusini na kuzungumzia juu ya hali ilivyo 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_37091072.wav,hussein mwinyi alihudumia wizara tatu 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28681788.wav,young alipata shahada ya sayansi nchini marekani 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_35683933.wav,zinaweza kuathiri jinsi mtu anavyoshughulikia chanzo cha uchafuzi 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_30181692.wav,kenya iliiuzia uganda bidhaa za thamani ya dola milioni mia mbili ishirini 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_28581708.wav,pasipo madaraja kuna feri za pekee za kubeba treni 
/scratch/skscla001/experiments/datasets/swagen/audio/common_voice_sw_29787792.wav,ulimwengu uko na wilaya saba 
