sentence	gender	duration	audio
aliandika vitabu vya maisha ya kiroho 	male_masculine	4.3275	common_voice_sw_28879236.wav
limetoa fursa kwa wawekezaji wa usafirishaji kwa njia ya maji kwa kutumia boti 	male_masculine	7.0635	common_voice_sw_30478612.wav
bidhaa zake zilikubaliwa na watu wengi sana 	male_masculine	4.1475	common_voice_sw_29795402.wav
wamekuwa wakinipa ushirikiano katika kila hatua ninayopitia 	male_masculine	5.9475	common_voice_sw_29935770.wav
adolf hitler aliibuka kupitia chama cha jumuiya ya mataifa 	male_masculine	5.2275	common_voice_sw_30629884.wav
ziwa nyasa linapatikana kati ya nchi za malawi msumbiji na tanzania 	male_masculine	6.0555	common_voice_sw_28725285.wav
kadhalika ushirikiano wa kisayansi umeanzishwa katika asia 	male_masculine	5.4435	common_voice_sw_36385734.wav
sauti 	male_masculine	3.6435	common_voice_sw_32210947.wav
basi utakuwa mkosefu wa fadhila bila kujumuisha majina kama patrick balisidya 	male_masculine	5.5875	common_voice_sw_37090988.wav
kutambua jadi ya spishi za maji baridi ilikuwa tatizo 	male_masculine	6.0555	common_voice_sw_28691415.wav
kwa sababu hiyo walianzisha mkutano wao wa haki za wanawake 	male_masculine	4.9755	common_voice_sw_29434588.wav
kwa sasa ndiyo hospitali kubwa ya rufaa na mafundisho nchini 	male_masculine	6.1635	common_voice_sw_28690219.wav
alikidhi matakwa ya katiba ya jamuhuri ya muungano wa tanzania 	male_masculine	5.2275	common_voice_sw_29838518.wav
tanzania imejengwa katika misingi ya ushirikiano 	male_masculine	5.0475	common_voice_sw_29864520.wav
barcelona walifunga chelsea mabao mawili 	male_masculine	5.9835	common_voice_sw_29815916.wav
bakhresa alianza kuuza mabaki ya mazao ya baharini tu 	male_masculine	5.5155	common_voice_sw_29946215.wav
ilikuwa inahatarisha maisha ya vikundi vya kimataifa 	male_masculine	5.3355	common_voice_sw_36945152.wav
leo hii usafiri wa mizigo unapita katika mfereji wa panama 	male_masculine	5.5155	common_voice_sw_28663142.wav
rasilimali madini ya aina mbalimbali kutoka pembezoni mwa bahari 	male_masculine	6.5235	common_voice_sw_30582880.wav
milima inatengeneza mazingira mazuri kwa vijiji vinavyozunguka maeneo hayo 	male_masculine	6.0555	common_voice_sw_30180188.wav
anakumbukwa kwa uchunguzi wake wa hadubini wa ubongo na uti wa mgongo 	male_masculine	6.3435	common_voice_sw_28681405.wav
fisi wanapatikana mara chache kweye tambarare ya shira 	male_masculine	4.5075	common_voice_sw_29789284.wav
takriban makabila yote ya tanzania wakiwemo waluguru yana utajiri mkubwa wa historia na taratibu 	male_masculine	9.0075	common_voice_sw_37097375.wav
amezaliwa na mama wa ghana na baba wa nigeria 	male_masculine	4.7955	common_voice_sw_28689985.wav
hatua ya kampuni ya kumi bet kuzinduliwa 	male_masculine	4.9035	common_voice_sw_30098710.wav
mji wa bagamoyo ulihusishwa na biashara ya masafa marefu 	male_masculine	6.3435	common_voice_sw_30334820.wav
tembo ana ukubwa wa tani saba 	male_masculine	4.30765625	common_voice_sw_30629947.wav
kuenea katika afrika baada ya mkutano wa berlin 	male_masculine	4.4355	common_voice_sw_30579093.wav
alianza kufanya mikataba na watawala wenyeji katika maeneo ya usagara nguru useguha na ukami 	male_masculine	7.6755	common_voice_sw_30225322.wav
ninasoma 	male_masculine	3.4275	common_voice_sw_34391610.wav
mpandaji wa mlima huu anapitia kanda tofati za hewa 	male_masculine	5.6955	common_voice_sw_29945047.wav
mashirikisho ya soka ya mabara nayo yakaiga kutoka kwa wasimamizi wa soka duniani 	male_masculine	7.4955	common_voice_sw_30364120.wav
unatumika kwenye nchi ambazo ni wanachama wa umoja wa mataifa 	male_masculine	6.7035	common_voice_sw_35408174.wav
katika ya jamii yote ya kimasai ndani kenya na tanzania 	male_masculine	4.2555	common_voice_sw_36383667.wav
wakati meli ikizama bendi hiyo iliendelea kuimba 	male_masculine	4.3275	common_voice_sw_30338777.wav
kwa ajili ya mikutano ya kiroho lakini waislamu wanaweza kuchukua 	male_masculine	4.1835	common_voice_sw_37219175.wav
watanzania tunaishi kwa upendo na umoja 	male_masculine	3.8955	common_voice_sw_29795942.wav
kugawanyika kwa kushindwa kuhakikisha amani 	male_masculine	4.5075	common_voice_sw_30577944.wav
matokeo kamili yanatanzamiwa kutangazwa mwezi ujao na ikiwa hali itasalia kuwa kama ilivyo sasa 	male_masculine	6.5955	common_voice_sw_36381427.wav
makao makuu yako wote 	male_masculine	4.4715	common_voice_sw_29469266.wav
