audio	sentence
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28879236.wav	aliandika vitabu vya maisha ya kiroho 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30478612.wav	limetoa fursa kwa wawekezaji wa usafirishaji kwa njia ya maji kwa kutumia boti 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29795402.wav	bidhaa zake zilikubaliwa na watu wengi sana 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29935770.wav	wamekuwa wakinipa ushirikiano katika kila hatua ninayopitia 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30629884.wav	adolf hitler aliibuka kupitia chama cha jumuiya ya mataifa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28725285.wav	ziwa nyasa linapatikana kati ya nchi za malawi msumbiji na tanzania 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36385734.wav	kadhalika ushirikiano wa kisayansi umeanzishwa katika asia 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_32210947.wav	sauti 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37090988.wav	basi utakuwa mkosefu wa fadhila bila kujumuisha majina kama patrick balisidya 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28691415.wav	kutambua jadi ya spishi za maji baridi ilikuwa tatizo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29434588.wav	kwa sababu hiyo walianzisha mkutano wao wa haki za wanawake 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28690219.wav	kwa sasa ndiyo hospitali kubwa ya rufaa na mafundisho nchini 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29838518.wav	alikidhi matakwa ya katiba ya jamuhuri ya muungano wa tanzania 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29864520.wav	tanzania imejengwa katika misingi ya ushirikiano 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29815916.wav	barcelona walifunga chelsea mabao mawili 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29946215.wav	bakhresa alianza kuuza mabaki ya mazao ya baharini tu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_36945152.wav	ilikuwa inahatarisha maisha ya vikundi vya kimataifa 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28663142.wav	leo hii usafiri wa mizigo unapita katika mfereji wa panama 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30582880.wav	rasilimali madini ya aina mbalimbali kutoka pembezoni mwa bahari 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30180188.wav	milima inatengeneza mazingira mazuri kwa vijiji vinavyozunguka maeneo hayo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28681405.wav	anakumbukwa kwa uchunguzi wake wa hadubini wa ubongo na uti wa mgongo 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_29789284.wav	fisi wanapatikana mara chache kweye tambarare ya shira 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_37097375.wav	takriban makabila yote ya tanzania wakiwemo waluguru yana utajiri mkubwa wa historia na taratibu 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_28689985.wav	amezaliwa na mama wa ghana na baba wa nigeria 
/scratch/skscla001/speech/data/swagen/audio/common_voice_sw_30098710.wav	hatua ya kampuni ya kumi bet kuzinduliwa 
