sentence	gender	duration	audio
blob anapenda kutembea usiku kuliko mchana 	female_feminine	5.3355	common_voice_sw_30574257.wav
ndiye anayeongoza orodha ya wafungaji bora wa kipute hicho 	female_feminine	7.7475	common_voice_sw_30574258.wav
mshirika wa karibu wa idi amin apolo milton obote wa uganda 	female_feminine	6.1275	common_voice_sw_30574259.wav
uggala inavivutio vingi vikiwemo mto ugalla 	female_feminine	5.2275	common_voice_sw_30574260.wav
mbwa na paka pia wanaweza kubeba viroboto walioambukizwa na kuwaleta nyumbani 	female_feminine	8.2875	common_voice_sw_30574261.wav
kutoka hapa tanzania na kupelekwa mataifa mengine 	female_feminine	4.6875	common_voice_sw_30574384.wav
alikua miongoni mwa watu mia moja wenye ushawishi zaidi 	female_feminine	4.9755	common_voice_sw_30574386.wav
kuna mbuga za taifa na hifadhi za wanyamapori ngorongoro serengeti na olduvai 	female_feminine	9.6555	common_voice_sw_30574388.wav
pia ipo bandari ya free town nchini siera lione 	female_feminine	4.5075	common_voice_sw_30574389.wav
wamasai wamekuwa wakiaminiwa na wengi kwa sababu ya ulinzi 	female_feminine	5.4435	common_voice_sw_30574417.wav
alianza kuwasiliana na machifu wadogo wa kabila la wahehe 	female_feminine	6.8475	common_voice_sw_30574418.wav
tanganyika wakati huo mwalimu juliusi kambarage nyerere 	female_feminine	6.8835	common_voice_sw_30574419.wav
madume yanapigana wanapopenda sehemu moja 	female_feminine	4.9035	common_voice_sw_30574420.wav
viwanja vingi vya soka viliandaliwa kwa ajili ya fainali za kombe la dunia 	female_feminine	7.1355	common_voice_sw_30574441.wav
changanya asali na mtindi uchanganyike vizuri halafu chukua kipande cha pamba 	female_feminine	6.7035	common_voice_sw_30574443.wav
alinipigia simu mchana 	female_feminine	3.2475	common_voice_sw_30574444.wav
ipo pia halmashauri ya wilaya ya kaliua na halmashauri ya wilaya ya igunga 	female_feminine	8.3235	common_voice_sw_30574445.wav
virusi hivi vinaweza kutoka kwa mama kwenda kwa mtoto 	female_feminine	6.1635	common_voice_sw_30574510.wav
alizaliwa marekani mahali ambapo wazazi wake walikuwa wanafanya kazi 	female_feminine	6.5235	common_voice_sw_30574512.wav
olaranyani huanza kwa kuimba mstari wa kichwa cha wimbo 	female_feminine	5.5155	common_voice_sw_30574515.wav
mwezi aprili rais wa zanzibar na tanganyika walitia saini 	female_feminine	5.5155	common_voice_sw_30575095.wav
baada ya uhuru wa tanganyika na zanzibar miaka michache 	female_feminine	5.2275	common_voice_sw_30575096.wav
majaabu hayaishi manyara utastaajabu kuona chemchem za maji moto 	female_feminine	6.5955	common_voice_sw_30575097.wav
fikiria karne moja hivi iliyopita watu wengi duniani hawakuwa wakipata nafasi ya kusafiri 	female_feminine	7.6035	common_voice_sw_30575098.wav
hasa kwa imani ya usafi waliyokuwa nayo 	female_feminine	4.0755	common_voice_sw_30575567.wav
plasmodium knowlesi anapatikana maeneo yote ya kusini mashariki mwa asia 	female_feminine	8.0355	common_voice_sw_30575568.wav
wachezaji wengi wakubwa ulimwenguni wametwaa taji mara moja 	female_feminine	5.4435	common_voice_sw_30575569.wav
kaa ukijua safari yako inaweza isifanikiwe kwa namna moja au nyingine 	female_feminine	7.1355	common_voice_sw_30575570.wav
mwishowe uongozi wa saudi arabia ulimruhusu amin arudi 	female_feminine	5.5875	common_voice_sw_30575581.wav
aliyeipenda mno kwa ladha yake na utamu wa aina yake 	female_feminine	4.8675	common_voice_sw_30575582.wav
lakini pia limesaidia sana katika kukuza kilimo kwa wananchi na taifa kwa ujumla 	female_feminine	6.6675	common_voice_sw_30575583.wav
kilwa ilikuwa ndiyo kituo kikuu cha biashara kutoka bara kwenda uarabuni na ulaya 	female_feminine	8.1435	common_voice_sw_30575585.wav
alikuwa amechoka na mgawanyiko ndani ya taifa la zimbabwe 	female_feminine	5.0835	common_voice_sw_30617130.wav
wanyambo wana utamaduni tofauti na makabila mengine 	female_feminine	5.4435	common_voice_sw_30617131.wav
mfungaji bora wa michuano alikuwa ni david villa 	female_feminine	5.9835	common_voice_sw_30617132.wav
chama cha mapinduzi kilikuwa na mizizi mikubwa 	female_feminine	4.6155	common_voice_sw_30623462.wav
ufaransa iliongoza operesheni hizo katika bahari mediterania kama moja ya mbinu ya kuliwezesha jeshi 	female_feminine	10.1235	common_voice_sw_30623465.wav
hali yake ilionekana kutia matumaini 	female_feminine	4.9035	common_voice_sw_30623466.wav
mitindo ya kucheza lugha makazi umoja na mshikamano ni vivutio kwa watalii kutoka nje 	female_feminine	6.9555	common_voice_sw_30623563.wav
ulinzi uimarishwe kwa kuwa tayari kikosi cha mapinduzi kimewasiliana 	female_feminine	7.8555	common_voice_sw_30623565.wav
kuna urefu wa kilomita mia tano hamsini na sita 	female_feminine	3.7875	common_voice_sw_30623566.wav
kuzingatia miiko ya soka na kujifunza bila kukata tamaa ili wafike mbali 	female_feminine	6.2355	common_voice_sw_30623567.wav
mkakati mwingine ni kutaka juhudi zaidi ziongezwe za kuweka na kudumisha mawasiliano 	female_feminine	9.2955	common_voice_sw_30623598.wav
wanaoishi kaskazini mwa tanzania chini ya mlima kilimanjaro mkoani kilimanjaro 	female_feminine	7.4955	common_voice_sw_30623599.wav
walipewa miezi mitatu kuondoka nchini biashara zilizoachwa zilipelekwa kwa wafuasi wa amin 	female_feminine	8.1435	common_voice_sw_30623600.wav
tibaijuka aliandika kwamba uamuzi wa kuifanya chato kuwa mkoa hauna faida zozote kiuchumi 	female_feminine	9.2955	common_voice_sw_30623601.wav
mti aliyonyongewa upo mpaka sasa sehemu ya oldmoshi bomani karibu na kolila sekondari 	female_feminine	9.0435	common_voice_sw_30623602.wav
kama jina la nchi hiyo bendera mpya ilikuwa muunganiko wa hiyo sehemu 	female_feminine	6.5235	common_voice_sw_30623636.wav
bila kusahau viongozi wa taifa la kongo brazzaville alikuwepo 	female_feminine	6.5235	common_voice_sw_30623637.wav
yapo baadhi ya mambo yameachwa kwa mfano kuwaua walemavu 	female_feminine	6.2355	common_voice_sw_30623638.wav
raymond mwakyusa maarufu rayvanny ameandika historia ya kuwa msanii wa kwanza tanzania 	female_feminine	9.0435	common_voice_sw_30623639.wav
sisi sote tuna jukumu la kuchukua katika mchakato wa kukomesha mauaji ya kimbari 	female_feminine	7.5675	common_voice_sw_30623640.wav
baadhi ya watu wanakifananisha na kwato 	female_feminine	5.1555	common_voice_sw_30623653.wav
wakapata nafasi ya kusoma na kujifunza matumizi ya silaha 	female_feminine	5.4435	common_voice_sw_30623654.wav
real madrid iliwahi kufungwa kwenye uwanja wa nyumbani 	female_feminine	4.9035	common_voice_sw_30623655.wav
huwa kazi zao huchachanganya kilimo ufugaji na biashara 	female_feminine	6.4155	common_voice_sw_30623666.wav
karume alitoa changamoto kwa muislam yeyote ajitokeze 	female_feminine	6.4155	common_voice_sw_30623668.wav
hayakutimia kikamilifu lakini utawala wake ulifanikiwa kupambana kikamilifu 	female_feminine	8.8275	common_voice_sw_30623669.wav
upande wa kusini tanzania imepakana na msumbiji 	female_feminine	4.9035	common_voice_sw_30623670.wav
majina yanayoanza na she kama shekusa shekiango shekimwei 	female_feminine	6.5235	common_voice_sw_30623686.wav
julai elfu mbili na kumi na nane alipata teuzi 	female_feminine	5.5155	common_voice_sw_30623687.wav
upande wa tanzania ziwa lina ukubwa wa kilomita za mraba elfu thelathini na saba 	female_feminine	7.7475	common_voice_sw_30623688.wav
juu ya pwani ya afrika mashariki kutokana na hali ya hewa nzuri 	female_feminine	6.3435	common_voice_sw_30623690.wav
harusi ya kimaasai huanza na bwana harusi kuleta mahari ambayo hujumuisha ngombe watatu 	female_feminine	8.8635	common_voice_sw_30623701.wav
kilele ni pale mfalme alijotoa macho mawili 	female_feminine	5.6955	common_voice_sw_30623702.wav
zilishabihiana sana na watu wa jamii ya waoromo wa ethiopia 	female_feminine	6.1275	common_voice_sw_30623705.wav
mtu mwingine anatamani heshima pekee duniani 	female_feminine	4.6875	common_voice_sw_30623746.wav
rais wa awamu ya nane ambaye ni ya sasa ni hussein ally mwinyi 	female_feminine	6.0555	common_voice_sw_30623747.wav
ushirikiano unapatikana kwa watu kuungana pamoja 	female_feminine	5.2275	common_voice_sw_30623748.wav
wakati bendera ya tanzania ina historia ndefu zaidi 	female_feminine	4.9755	common_voice_sw_30623749.wav
watu wachache wenye uwezo wanabeba kichwani umbali mrefu kwenda kuuza 	female_feminine	6.9555	common_voice_sw_30623756.wav
kwa kuwa kongosho haifanyi kazi vizuri 	female_feminine	4.5435	common_voice_sw_30623757.wav
wanyaugogo hawa huongea lafudhi iitwayo chinyaugogo 	female_feminine	7.5675	common_voice_sw_30666650.wav
alijipatia shahada yake ya kwanza kutoka chuo kikuu cha makerere kampala uganda 	female_feminine	6.4875	common_voice_sw_30667130.wav
pamoja na watoto wengine wa baba yake na ukoo 	female_feminine	4.4355	common_voice_sw_30667131.wav
wakurugenzi watendaji wanaoteuliwa na rais wa jamhuri ya muungano wa tanzania 	female_feminine	7.1355	common_voice_sw_30667132.wav
bakhresa amejijengea jina kibiashara kwani si ajabu kusikia watu wakisema amka na azam 	female_feminine	8.0355	common_voice_sw_30667133.wav
siku hizi hakuna miendo ya maana inayoonekana kwenye barafuto 	female_feminine	6.4875	common_voice_sw_30667146.wav
hawa ni wengi sana kuliko wale walio na ajira katika makampuni ya uchimbaji dhahabu 	female_feminine	7.7475	common_voice_sw_30667147.wav
pia ni mwanachama hai wa chama cha wahandisi tanzania 	female_feminine	5.6235	common_voice_sw_30667148.wav
raia walipolalamika ugumu wa maisha 	female_feminine	3.7155	common_voice_sw_30667149.wav
rais kaunda pia aliheshimiwa kwa mchango wake katika usuluhishi wa migogoro 	female_feminine	8.6475	common_voice_sw_30667164.wav
alikuwa paroko msaidizi wa parokia ya mtakatifu fransisco wa assis pugu 	female_feminine	7.3875	common_voice_sw_30667170.wav
kiasi cha kutwaa karibu kila tuzo za wakati huo 	female_feminine	5.8755	common_voice_sw_30667171.wav
walioishi nyakahanga karibu na kiongozi huyo wa jadi 	female_feminine	5.9475	common_voice_sw_30667172.wav
katika harakati za maisha na mabadiliko ya mazingira wengi wao wakakimbilia mbeya mjini 	female_feminine	7.9635	common_voice_sw_30667174.wav
kwake kanisa lilikuwa hasa mwli wa krist usioonekana kwa macho 	female_feminine	7.4235	common_voice_sw_30667181.wav
baada ya kuona kelele za mashabiki zimezidi 	female_feminine	4.7235	common_voice_sw_30667183.wav
hapo ndipo tunapoweza kujua ni namna gani taifa kama ghana limetuacha mbali 	female_feminine	6.8475	common_voice_sw_30667191.wav
zanzibar ni kisiwa cha maajabu chenye msururu mkubwa wa watalii 	female_feminine	6.7755	common_voice_sw_30667192.wav
