sentence	gender	duration	audio
macho yangu yamefungwa 	male_masculine	2.9595	common_voice_sw_37083859.wav
utaona wamebadilisha kauli na sasa wataanza kumuunga mkono kwa hivyo 	male_masculine	5.4435	common_voice_sw_37083863.wav
wao ni chanzo tajiri cha viumbe hai 	male_masculine	4.4715	common_voice_sw_37084247.wav
kwenye nchi nyingi duniani kulikuwa na habari nyingi sana juu ya viumbe vya ajabu 	male_masculine	6.0555	common_voice_sw_37084257.wav
maji ni uhai 	male_masculine	2.0595	common_voice_sw_37084464.wav
aanze kuwa kama mfalme wa dunia hii lililoathiri sana majukumu yake 	male_masculine	6.4515	common_voice_sw_37084637.wav
kujiri ama zitajiri hapo baadaye 	male_masculine	3.8235	common_voice_sw_37084711.wav
gharama ya kupunguza uchafuzi wa hewa ya kwanza ikiwa 	male_masculine	4.5075	common_voice_sw_37084717.wav
naye akasema kuwa hajapata taarifa rasmi kutoka serikali ya kigali 	male_masculine	5.0115	common_voice_sw_37084797.wav
woolner alikuwa kwenye dawati la chini 	male_masculine	3.4275	common_voice_sw_37084800.wav
alishinda katika mashindano yale 	male_masculine	3.3195	common_voice_sw_37084803.wav
wa uendeshaji wa serikali kwa sababu 	male_masculine	4.9035	common_voice_sw_37084903.wav
kuna vivutio kama vile mji mkongwe wa zanzibar 	male_masculine	5.0475	common_voice_sw_37084977.wav
wa morogoro na ilianzishwa mwaka wa elfu moja mia tisa sitini na nneipo umbali 	male_masculine	7.7475	common_voice_sw_37084979.wav
kuchota maji kuokota kuni kukamua ngombe na kupikia familia thelathini na nnengoma ya 	male_masculine	6.8835	common_voice_sw_37085063.wav
nitashinda kwako 	male_masculine	2.7435	common_voice_sw_37085258.wav
walitaka kanisa la kiafrika na kuchukia mambo ya kilatini alikubali 	male_masculine	7.5315	common_voice_sw_37085573.wav
gesi zinazochafua na kemikali zingine kama mafuta 	male_masculine	6.0555	common_voice_sw_37085580.wav
ndio maana karafuu hutumika kama kiungo cha chai 	male_masculine	4.3995	common_voice_sw_37085583.wav
ambapo asilimia hamsini na mbili ya wapiga kura 	male_masculine	3.8595	common_voice_sw_37085776.wav
aidha bunge hilo pia lilikubali uanzishwaji wa programu arobaini na tatu 	male_masculine	7.9635	common_voice_sw_37086127.wav
uchanguzi mkuu wa nchini thailand unataraji kufanyika 	male_masculine	5.6235	common_voice_sw_37086130.wav
elfu mbili na saba hangeweza kujulikana hii ni kwa sababu wizi wa kura ulifanyika 	male_masculine	7.9995	common_voice_sw_37086134.wav
kuwa na heshima kwa pande zote na kutokuelewana 	male_masculine	6.5235	common_voice_sw_37086608.wav
benki inatakiwa kuhimili majanga ya kiuchumi 	male_masculine	3.4635	common_voice_sw_37086627.wav
mwinuko katika serengeti una urefu wa mita mia tisa 	male_masculine	6.5595	common_voice_sw_37086858.wav
maji kutoka bombani yanaweza kutumika tu baada ya kuchemsha 	male_masculine	6.8475	common_voice_sw_37086874.wav
