sentence	gender	duration	audio
sheria hizi za muungano zilithibitisha hati za muungano 	male_masculine	4.2555	common_voice_sw_29995193.wav
nyerere alikufa akiwa katika matibabu nchini uingereza 	male_masculine	4.7235	common_voice_sw_29836474.wav
kuanzia karne hadi karne wakawa na nguvu na 	female_feminine	3.2835	common_voice_sw_37089912.wav
uso wa nchi ni tambarare na mita chache tu juu ya uwiano wa bahari 	female_feminine	5.0475	common_voice_sw_28733314.wav
nakumbuka nilipovunjika jinsi ulivyoniinua 	male_masculine	4.7955	common_voice_sw_34764321.wav
nchini china bahari hii inaitwa bahari ya mashariki 	male_masculine	6.4155	common_voice_sw_28592244.wav
miaka ya nyuma wazigua waliabudu miungu mbalimbali kama mawe moto na miti mikubwa 	male_masculine	7.7475	common_voice_sw_29899302.wav
fanya mazoezi kwenye sehemu zenye milima na uongeze uzito 	male_masculine	6.3075	common_voice_sw_30183202.wav
wachezaji wanapotaka kuhama timu zao za awali 	male_masculine	4.1475	common_voice_sw_29978203.wav
kiliibuka na kuwa moja ya vikundi vya wapiganaji ambavyo vilikuwa 	female_feminine	4.9755	common_voice_sw_37094913.wav
alishalizoea bunge akiwa msaidizi wa raisi mstaafu wa awamu ya nne jakaya kikwete 	female_feminine	6.4155	common_voice_sw_30653494.wav
mataifa ambayo aliyataja amin mara kwa mara yalikuwa ni cuba marekani na israeli 	male_masculine	8.3235	common_voice_sw_30321981.wav
unaweza kupatwa na dalili nyingine zitokanazo na homa hizi 	female_feminine	4.9035	common_voice_sw_34598029.wav
kwa kudai eti watumwa waliona bahari ambako watasafarishwa 	male_masculine	5.1555	common_voice_sw_29899373.wav
vilevile kutumia maji vizuri hasa katika shughuli za kilimo 	male_masculine	5.35165625	common_voice_sw_30644249.wav
wakati leo tunakumbuka tukio hili ambalo limeacha simanzi mioyoni mwetu 	male_masculine	5.2635	common_voice_sw_30363787.wav
wakajibu kwamba wenzao walikuwa wamezarama yaani walikuwa wamelowea au kuzamia 	male_masculine	6.3795	common_voice_sw_30380791.wav
huwa hawaondoki na wanaweza kukaa kwako hata mwezi wanatambika tu 	female_feminine	4.9035	common_voice_sw_30075275.wav
ilikuwa sifuri unaitwa dokta nani naitwa dokta rukia wizara ya afya kitengo cha tiba 	female_feminine	7.7475	common_voice_sw_37092077.wav
