audio	sentence	gender	duration
common_voice_sw_29845427.mp3	na ukosefu wa makazi pia hifadhi za kuwaweka wakimbizi 	male_masculine	6.4155
common_voice_sw_29822575.mp3	alitafiti na kutengeneza mfumo wa madaraja nchini tanzania 	male_masculine	4.7235
common_voice_sw_30671922.mp3	ingawa ardhi ni msingi wa maendeleo kwa watu wote 	male_masculine	4.5075
common_voice_sw_37101488.mp3	usipo harakisha utabaki nyuma 	male_masculine	3.5355
common_voice_sw_30320397.mp3	chifu mkwawa alitumia pango hilo kujificha wakati wa vipita kwenye utawa wa kikoloni 	male_masculine	9.2955
common_voice_sw_30180734.mp3	mandela yuko huru sasa anaamua kusaka uungwaji mkono 	male_masculine	5.2275
common_voice_sw_29791607.mp3	tanzania kwa mara ya kwanza imepata spika wa mbuge mwanamke mheshimiwa anna semamba makinda 	female_feminine	6.4155
common_voice_sw_29018812.mp3	pia kuna wasemaji wachache nchini uhindi 	male_masculine	4.2555
common_voice_sw_36350615.mp3	siwezi kukuambia siri yangu 	male_masculine	2.3835
common_voice_sw_36067293.mp3	rais wa jamhuri amekutana na kuzungumza na mkurugenzi mkuu wa benki ya kiarabu 	male_masculine	7.1355
common_voice_sw_30240951.mp3	wakitangaza tu kushikamana nao pia kushirikiana nao 	female_feminine	6.3075
common_voice_sw_36252473.mp3	na tano baadaye abrahamu babu wa taifa la israeli kwa imani na 	male_masculine	5.7675
common_voice_sw_30653913.mp3	wakijaribu kujiokoa meli haikuwa na boti za kuokolea za kutosha 	female_feminine	4.7955
common_voice_sw_30653693.mp3	hadi msimu ulipokwisha akajiweka kando na soka 	female_feminine	4.1475
common_voice_sw_35867568.mp3	sera ya serikali ya awamu ya nane ya kukuza uchumi kupitia bahari 	female_feminine	5.3355
common_voice_sw_29994057.mp3	baadhi ya wasanii hao ni kama halima madiwa jacob steven sara mvungi na wengine 	male_masculine	7.1355
common_voice_sw_36383787.mp3	di hujikakamua kabla ya dakiki tisini kufika ili waweze kukomboa 	male_masculine	4.9755
common_voice_sw_30647797.mp3	alipangiwa kazi yake ya kwanza ya kichungaji katika kijiji cha niegowiic 	male_masculine	5.8755
common_voice_sw_31285078.mp3	operesheni hiyo ilipewa jina operation neptune spear 	female_feminine	4.0755
common_voice_sw_37217072.mp3	ee na na inapokuwa ni kesi kama hii ya madawa ya kulevya 	female_feminine	4.9035
common_voice_sw_30330049.mp3	shughuli hizi hufanyika katika misitu ya asili na ya watu 	female_feminine	4.9035
common_voice_sw_29943421.mp3	baadhi ya alama zinazopatikana katika nembo ya taifa ni 	male_masculine	3.9675
common_voice_sw_31356607.mp3	kiwango chake cha mchezo hakipungui na badala yake kinaongezeka kila uchao 	male_masculine	8.8635
common_voice_sw_29925296.mp3	hutoa makazi madogo kwa nyanda zisizo na wanyamapori 	female_feminine	5.3355
common_voice_sw_30653507.mp3	pep ni moja wapo ya makocha bora duniani 	female_feminine	3.6435
common_voice_sw_30522815.mp3	angel di maria ni nyota hatari kutoka nchini argentina 	female_feminine	6.0555
common_voice_sw_29798597.mp3	osama alikua tajiri mkubwa saudi arabia alianza kusimamia 	female_feminine	6.0555
common_voice_sw_29938771.mp3	baadhi ya nchi zinazopatikana pembeni mwa bahari hii ni 	male_masculine	4.6875
common_voice_sw_35183627.mp3	unakaa hii leo kukutana na kujadili 	female_feminine	4.3275
common_voice_sw_30624118.mp3	historia yake inawavutia watu wengi kufanya utafiti 	female_feminine	4.9755
common_voice_sw_29789483.mp3	hii ni kutokana na ukweli wa kwamba 	female_feminine	3.6075
common_voice_sw_29997547.mp3	arsenal walilala kwa mabao mawili kwa moja dhidi ya vijana wa frank rijkard 	male_masculine	6.6675
common_voice_sw_29850308.mp3	kenyata alihusishwa na harakati za vita vya msituni 	male_masculine	4.9035
common_voice_sw_36381104.mp3	ambayo usingeweza hata kupata kuyauliza lakini unahitaji 	male_masculine	3.9675
common_voice_sw_37223935.mp3	kila goti lipigwe 	male_masculine	1.3755
common_voice_sw_30324969.mp3	pia amerika na sehemu nyingine za dunia 	female_feminine	3.4275
common_voice_sw_31286345.mp3	raia wa uingereza na mwenyekiti wa kampuni ya ndege aliyeitwa bwana herri william 	male_masculine	7.2075
common_voice_sw_30075908.mp3	mama hupewa maji katika kibuyu ili ayanywe 	male_masculine	3.5355
common_voice_sw_36039742.mp3	hivyo kuhitajika mikakati maalum kabla ya kujadili masuala hayo 	male_masculine	5.9475
common_voice_sw_30017714.mp3	mwaka elfu moja mia tisa sabini serikali iliipa kazi kampuni ya upangaji miji 	female_feminine	7.1355
common_voice_sw_35587910.mp3	rangi nyeusi watala kitu chochote kinachoendelea kutoka 	female_feminine	4.8675
common_voice_sw_29935165.mp3	vijidudu vya ugonjwa viliunda ukinzani dhidi ya penicillin 	male_masculine	6.4875
common_voice_sw_30192390.mp3	kutokana na masimulizi inawezekana vifo vya watoto vilisababishwa na ugonjwa wa malaria 	female_feminine	6.5235
common_voice_sw_30574760.mp3	tiba ya malaria hulenga kuondoa vimelea vya plasmodium kwenye mfumo wa damu ya mgonjwa 	female_feminine	6.5235
common_voice_sw_28259622.mp3	aliongoza kwa muda wa miaka mitano na nusu hadi kifo chake 	male_masculine	5.2635
common_voice_sw_30092047.mp3	kuna hatari kubwa ya kuishi wagonjwa korona 	male_masculine	4.05565625
common_voice_sw_35110308.mp3	kudumisha amani hususan kupitia usuluhishi wa migogoro mbalimbali 	female_feminine	5.4075
common_voice_sw_29924816.mp3	ikumbukwe kuwa hifadhi hii ni maarufu kwa wanyama jamii ya 	female_feminine	5.2635
common_voice_sw_37222853.mp3	ya anatolia ambayo wengi wa uturuki wa sasa 	male_masculine	4.6155
common_voice_sw_30071738.mp3	ulinzi zaidi uongezwe kuvilinda vivutio vyetu vidumu milele 	male_masculine	5.2275
common_voice_sw_29470107.mp3	watu wengine bilioni moja wanakadiriwa kukosa vitamini na madini 	male_masculine	5.5515
common_voice_sw_30025689.mp3	kwa maana ya watu wanaotoka katika kijiji cha 	male_masculine	3.7155
common_voice_sw_36388886.mp3	paka alikunywa maziwa yote 	male_masculine	3.8235
common_voice_sw_30052077.mp3	kwa mfano kuna ukoo uliokaa sehemu zenye udongo bayungu walijiita wayungu 	female_feminine	7.2435
common_voice_sw_30539562.mp3	hakuna timu bora kama barcelona ya miaka kumi iliyopita 	female_feminine	4.8675
common_voice_sw_29924751.mp3	ingawa hakuna idadi kamili ya watu waliouliwa wakati wa utawala wa idi amin 	female_feminine	7.2075
common_voice_sw_30635728.mp3	mourinho ni kocha asiyekubali kushindwa kirahisi 	male_masculine	4.0755
common_voice_sw_30031779.mp3	makombora yalipotua kwenye viwanja vya ikulu alipanda helikopta ya jeshi na kutimkia kampala 	female_feminine	8.2875
common_voice_sw_28699111.mp3	lakini mara nyingi kuna uchaguzi bandia badala ya uchaguzi huru 	female_feminine	6.2355
common_voice_sw_36389439.mp3	ukubwa wa baraza lake la mawaziri kukosolewa na wataalam 	male_masculine	3.7155
common_voice_sw_34598894.mp3	sherehe ya tohara ambayo inafanywa bila dawa ya kugandisha misuli hii tohara hufanywa na 	female_feminine	8.5755
common_voice_sw_32323898.mp3	lulu humilikiwa na vachu matajiri nno na ina thamani sana 	male_masculine	5.3355
common_voice_sw_28995063.mp3	kisiwa chote ni kama mnara wa kihistoria wa asili 	male_masculine	4.3635
common_voice_sw_37222631.mp3	wafadhili wana mitazamo na malengo yao 	male_masculine	3.3555
common_voice_sw_36945650.mp3	tunaweza kuya kuya kuyazuia kabla hayajatokea 	male_masculine	8.2875
common_voice_sw_36039686.mp3	punk imany david guetta soprano martin solveig kutoka nchini ufransa 	female_feminine	5.8755
common_voice_sw_29936581.mp3	baada ya shughuli hiyo ya kuogeshwa watoto hao huveshwa nguo mpya 	male_masculine	5.4075
common_voice_sw_35156580.mp3	ni kwamba wananchi vile wanachukulia uchaguzi 	female_feminine	3.4275
common_voice_sw_30124009.mp3	baadhi ya hominid fossils kongwe hupatikana vilevile 	female_feminine	6.35965625
common_voice_sw_30317555.mp3	chama cha tenisi cha wanawake kiliorodhesha ulimwengu wake nambari moja katika hafla 	male_masculine	9.4755
common_voice_sw_28258454.mp3	miamba hii iko hatarini kupotea 	male_masculine	4.5435
common_voice_sw_29795530.mp3	zaidi ya elfu thelathini kwa eneo lake zima 	male_masculine	3.7875
common_voice_sw_29787838.mp3	vile vile nyangumi bluu anaweza kufikia uzito wa tani mia mbili 	male_masculine	5.2635
